Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:46:27:711,target,BB Gun,0s,1,1,1,1,1,1,false
2,12:46:28:196,target,BB Gun,0s,1,1,1,1,1,1,false
3,12:46:29:198,target,BB Gun,0s,1,1,1,1,1,1,false
4,12:46:29:930,target,BB Gun,0s,1,1,1,1,1,1,false
5,12:46:30:552,target,BB Gun,0s,1,1,1,1,1,1,false
6,12:46:31:075,target,BB Gun,0s,1,1,1,1,1,1,false
7,12:46:32:722,target,BB Gun,0.719s,2,1,0.5,1,2,0.5,false
8,12:46:33:341,target,BB Gun,0s,1,1,1,1,1,1,false
9,12:46:34:055,target,BB Gun,0s,1,1,1,1,1,1,false
10,12:46:34:882,target,BB Gun,0s,1,1,1,1,1,1,false
11,12:46:35:653,target,BB Gun,0s,1,1,1,1,1,1,false
12,12:46:36:467,target,BB Gun,0s,1,1,1,1,1,1,false
13,12:46:37:103,target,BB Gun,0s,1,1,1,1,1,1,false
14,12:46:37:707,target,BB Gun,0s,1,1,1,1,1,1,false
15,12:46:38:371,target,BB Gun,0s,1,1,1,1,1,1,false
16,12:46:39:062,target,BB Gun,0s,1,1,1,1,1,1,false
17,12:46:40:036,target,BB Gun,0s,1,1,1,1,1,1,false
18,12:46:40:866,target,BB Gun,0s,1,1,1,1,1,1,false
19,12:46:41:738,target,BB Gun,0s,1,1,1,1,1,1,false
20,12:46:42:036,target,BB Gun,0s,1,1,1,1,1,1,false
21,12:46:42:894,target,BB Gun,0s,1,1,1,1,1,1,false
22,12:46:43:470,target,BB Gun,0s,1,1,1,1,1,1,false
23,12:46:44:112,target,BB Gun,0s,1,1,1,1,1,1,false
24,12:46:44:723,target,BB Gun,0s,1,1,1,1,1,1,false
25,12:46:45:614,target,BB Gun,0s,1,1,1,1,1,1,false
26,12:46:46:421,target,BB Gun,0s,1,1,1,1,1,1,false
27,12:46:47:046,target,BB Gun,0s,1,1,1,1,1,1,false
28,12:46:47:756,target,BB Gun,0s,1,1,1,1,1,1,false
29,12:46:48:469,target,BB Gun,0s,1,1,1,1,1,1,false
30,12:46:49:229,target,BB Gun,0s,1,1,1,1,1,1,false
31,12:46:50:140,target,BB Gun,0s,1,1,1,1,1,1,false
32,12:46:51:313,target,BB Gun,0.323s,2,1,0.5,1,2,0.5,false
33,12:46:52:082,target,BB Gun,0s,1,1,1,1,1,1,false
34,12:46:52:791,target,BB Gun,0s,1,1,1,1,1,1,false
35,12:46:54:191,target,BB Gun,0.752s,2,1,0.5,1,2,0.5,false
36,12:46:56:406,target,BB Gun,1.389s,3,1,0.333,1,3,0.333,false
37,12:46:56:897,target,BB Gun,0.001s,1,1,1,1,1,1,false
38,12:46:58:137,target,BB Gun,0.722s,2,1,0.5,1,2,0.5,false
39,12:46:58:805,target,BB Gun,0s,1,1,1,1,1,1,false
40,12:46:59:333,target,BB Gun,0s,1,1,1,1,1,1,false
41,12:47:00:050,target,BB Gun,0s,1,1,1,1,1,1,false
42,12:47:00:715,target,BB Gun,0s,1,1,1,1,1,1,false
43,12:47:01:641,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,12:47:02:455,target,BB Gun,0s,1,1,1,1,1,1,false
45,12:47:03:234,target,BB Gun,0s,1,1,1,1,1,1,false
46,12:47:04:022,target,BB Gun,0s,1,1,1,1,1,1,false
47,12:47:04:714,target,BB Gun,0s,1,1,1,1,1,1,false
48,12:47:05:620,target,BB Gun,0.643s,2,1,0.5,1,2,0.5,false
49,12:47:06:142,target,BB Gun,0s,1,1,1,1,1,1,false
