Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:23:37:777,target,pistol,0.001s,1,1,1,100,400,0.25,false
2,20:23:38:319,target,pistol,0s,1,1,1,100,400,0.25,false
3,20:23:38:958,target,pistol,0s,1,1,1,100,400,0.25,false
4,20:23:39:543,target,pistol,0s,1,1,1,100,400,0.25,false
5,20:23:40:915,target,pistol,0.43s,2,1,0.5,100,800,0.125,false
6,20:23:41:621,target,pistol,0s,1,1,1,100,400,0.25,false
7,20:23:42:252,target,pistol,0s,1,1,1,100,400,0.25,false
8,20:23:42:754,target,pistol,0s,1,1,1,100,400,0.25,false
9,20:23:43:220,target,pistol,0s,1,1,1,100,400,0.25,false
10,20:23:43:751,target,pistol,0s,1,1,1,100,400,0.25,false
11,20:23:44:279,target,pistol,0s,1,1,1,100,400,0.25,false
12,20:23:44:800,target,pistol,0s,1,1,1,100,400,0.25,false
13,20:23:45:696,target,pistol,0s,1,1,1,100,400,0.25,false
14,20:23:46:161,target,pistol,0s,1,1,1,100,400,0.25,false
15,20:23:46:654,target,pistol,0s,1,1,1,100,400,0.25,false
16,20:23:47:205,target,pistol,0s,1,1,1,100,400,0.25,false
17,20:23:47:738,target,pistol,0s,1,1,1,100,400,0.25,false
18,20:23:48:512,target,pistol,0.24s,2,1,0.5,100,800,0.125,false
19,20:23:49:292,target,pistol,0s,1,1,1,100,400,0.25,false
20,20:23:50:011,target,pistol,0s,1,1,1,100,400,0.25,false
21,20:23:50:926,target,pistol,0s,1,1,1,100,400,0.25,false
22,20:23:51:733,target,pistol,0s,1,1,1,100,400,0.25,false
23,20:23:52:665,target,pistol,0.348s,2,1,0.5,100,800,0.125,false
24,20:23:53:332,target,pistol,0s,1,1,1,100,400,0.25,false
25,20:23:54:019,target,pistol,0s,1,1,1,100,400,0.25,false
26,20:23:54:617,target,pistol,0s,1,1,1,100,400,0.25,false
27,20:23:55:168,target,pistol,0s,1,1,1,100,400,0.25,false
28,20:23:56:120,target,pistol,0.458s,2,1,0.5,100,800,0.125,false
29,20:23:56:814,target,pistol,0s,1,1,1,100,400,0.25,false
30,20:23:58:153,target,pistol,0.739s,3,1,0.333,100,1200,0.083,false
31,20:23:58:803,target,pistol,0s,1,1,1,100,400,0.25,false
32,20:23:59:323,target,pistol,0s,1,1,1,100,400,0.25,false
33,20:23:59:991,target,pistol,0s,1,1,1,100,400,0.25,false
34,20:24:00:863,target,pistol,0.001s,1,1,1,100,400,0.25,false
35,20:24:01:453,target,pistol,0s,1,1,1,100,400,0.25,false
36,20:24:02:112,target,pistol,0s,1,1,1,100,400,0.25,false
37,20:24:02:758,target,pistol,0s,1,1,1,100,400,0.25,false
38,20:24:03:280,target,pistol,0s,1,1,1,100,400,0.25,false
39,20:24:03:843,target,pistol,0s,1,1,1,100,400,0.25,false
40,20:24:04:360,target,pistol,0s,1,1,1,100,400,0.25,false
41,20:24:04:841,target,pistol,0.001s,1,1,1,100,400,0.25,false
42,20:24:05:317,target,pistol,0s,1,1,1,100,400,0.25,false
43,20:24:05:857,target,pistol,0s,1,1,1,100,400,0.25,false
44,20:24:06:895,target,pistol,0.409s,2,1,0.5,100,800,0.125,false
45,20:24:07:461,target,pistol,0.001s,1,1,1,100,400,0.25,false
46,20:24:08:070,target,pistol,0s,1,1,1,100,400,0.25,false
47,20:24:08:885,target,pistol,0s,1,1,1,100,400,0.25,false
48,20:24:09:443,target,pistol,0s,1,1,1,100,400,0.25,false
49,20:24:10:325,target,pistol,0.001s,1,1,1,100,400,0.25,false
50,20:24:10:903,target,pistol,0s,1,1,1,100,400,0.25,false
51,20:24:11:538,target,pistol,0s,1,1,1,100,400,0.25,false
52,20:24:12:120,target,pistol,0s,1,1,1,100,400,0.25,false
53,20:24:12:670,target,pistol,0s,1,1,1,100,400,0.25,false
54,20:24:13:516,target,pistol,0s,1,1,1,100,400,0.25,false
