Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:25:52:221,target,BB Gun,0s,1,1,1,1,1,1,false
2,20:25:52:749,target,BB Gun,0s,1,1,1,1,1,1,false
3,20:25:53:918,target,BB Gun,0s,1,1,1,1,1,1,false
4,20:25:54:868,target,BB Gun,0.379s,2,1,0.5,1,2,0.5,false
5,20:25:55:539,target,BB Gun,0s,1,1,1,1,1,1,false
6,20:25:56:274,target,BB Gun,0s,1,1,1,1,1,1,false
7,20:25:57:020,target,BB Gun,0s,1,1,1,1,1,1,false
8,20:25:57:699,target,BB Gun,0s,1,1,1,1,1,1,false
9,20:25:58:747,target,BB Gun,0.404s,2,1,0.5,1,2,0.5,false
10,20:25:59:411,target,BB Gun,0s,1,1,1,1,1,1,false
11,20:25:59:961,target,BB Gun,0s,1,1,1,1,1,1,false
12,20:26:01:000,target,BB Gun,0.001s,1,1,1,1,1,1,false
13,20:26:01:566,target,BB Gun,0s,1,1,1,1,1,1,false
14,20:26:02:350,target,BB Gun,0s,1,1,1,1,1,1,false
15,20:26:03:047,target,BB Gun,0s,1,1,1,1,1,1,false
16,20:26:03:652,target,BB Gun,0s,1,1,1,1,1,1,false
17,20:26:04:548,target,BB Gun,0s,1,1,1,1,1,1,false
18,20:26:04:937,target,BB Gun,0s,1,1,1,1,1,1,false
19,20:26:05:358,target,BB Gun,0s,1,1,1,1,1,1,false
20,20:26:06:113,target,BB Gun,0s,1,1,1,1,1,1,false
21,20:26:06:898,target,BB Gun,0s,1,1,1,1,1,1,false
22,20:26:07:356,target,BB Gun,0s,1,1,1,1,1,1,false
23,20:26:08:127,target,BB Gun,0.284s,2,1,0.5,1,2,0.5,false
24,20:26:08:686,target,BB Gun,0s,1,1,1,1,1,1,false
25,20:26:10:200,target,BB Gun,0.981s,3,1,0.333,1,3,0.333,false
26,20:26:10:634,target,BB Gun,0s,1,1,1,1,1,1,false
27,20:26:11:255,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,20:26:12:057,target,BB Gun,0.001s,1,1,1,1,1,1,false
29,20:26:12:866,target,BB Gun,0s,1,1,1,1,1,1,false
30,20:26:13:421,target,BB Gun,0s,1,1,1,1,1,1,false
31,20:26:14:155,target,BB Gun,0.001s,1,1,1,1,1,1,false
32,20:26:14:871,target,BB Gun,0s,1,1,1,1,1,1,false
33,20:26:15:756,target,BB Gun,0s,1,1,1,1,1,1,false
34,20:26:17:028,target,BB Gun,0s,1,1,1,1,1,1,false
35,20:26:17:644,target,BB Gun,0s,1,1,1,1,1,1,false
36,20:26:19:238,target,BB Gun,0.851s,2,1,0.5,1,2,0.5,false
37,20:26:19:938,target,BB Gun,0s,1,1,1,1,1,1,false
38,20:26:20:740,target,BB Gun,0s,1,1,1,1,1,1,false
39,20:26:21:505,target,BB Gun,0s,1,1,1,1,1,1,false
40,20:26:22:148,target,BB Gun,0s,1,1,1,1,1,1,false
41,20:26:22:855,target,BB Gun,0s,1,1,1,1,1,1,false
42,20:26:23:724,target,BB Gun,0s,1,1,1,1,1,1,false
43,20:26:24:462,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,20:26:25:702,target,BB Gun,0.461s,2,1,0.5,1,2,0.5,false
45,20:26:26:632,target,BB Gun,0s,1,1,1,1,1,1,false
46,20:26:27:590,target,BB Gun,0s,1,1,1,1,1,1,false
47,20:26:28:081,target,BB Gun,0s,1,1,1,1,1,1,false
48,20:26:28:802,target,BB Gun,0s,1,1,1,1,1,1,false
49,20:26:30:171,target,BB Gun,0.863s,2,1,0.5,1,2,0.5,false
