Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:32:25:888,target,BB Gun,0s,1,1,1,1,1,1,false
2,12:32:26:175,target,BB Gun,0s,1,1,1,1,1,1,false
3,12:32:26:604,target,BB Gun,0s,1,1,1,1,1,1,false
4,12:32:27:048,target,BB Gun,0s,1,1,1,1,1,1,false
5,12:32:27:323,target,BB Gun,0s,1,1,1,1,1,1,false
6,12:32:27:725,target,BB Gun,0s,1,1,1,1,1,1,false
7,12:32:27:983,target,BB Gun,0s,1,1,1,1,1,1,false
8,12:32:28:154,target,BB Gun,0s,1,1,1,1,1,1,false
9,12:32:28:418,target,BB Gun,0.001s,1,1,1,1,1,1,false
10,12:32:28:905,target,BB Gun,0.214s,2,1,0.5,1,2,0.5,false
11,12:32:29:102,target,BB Gun,0s,1,1,1,1,1,1,false
12,12:32:29:520,target,BB Gun,0s,1,1,1,1,1,1,false
13,12:32:29:756,target,BB Gun,0s,1,1,1,1,1,1,false
14,12:32:29:949,target,BB Gun,0.001s,1,1,1,1,1,1,false
15,12:32:30:394,target,BB Gun,0.001s,1,1,1,1,1,1,false
16,12:32:30:726,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,12:32:31:209,target,BB Gun,0s,1,1,1,1,1,1,false
18,12:32:31:750,target,BB Gun,0.265s,2,1,0.5,1,2,0.5,false
19,12:32:31:960,target,BB Gun,0s,1,1,1,1,1,1,false
20,12:32:32:445,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,12:32:32:617,target,BB Gun,0s,1,1,1,1,1,1,false
22,12:32:33:005,target,BB Gun,0s,1,1,1,1,1,1,false
23,12:32:33:334,target,BB Gun,0s,1,1,1,1,1,1,false
24,12:32:33:583,target,BB Gun,0.001s,1,1,1,1,1,1,false
25,12:32:33:986,target,BB Gun,0s,1,1,1,1,1,1,false
26,12:32:34:311,target,BB Gun,0s,1,1,1,1,1,1,false
27,12:32:34:518,target,BB Gun,0s,1,1,1,1,1,1,false
28,12:32:34:706,target,BB Gun,0s,1,1,1,1,1,1,false
29,12:32:35:199,target,BB Gun,0s,1,1,1,1,1,1,false
30,12:32:35:363,target,BB Gun,0s,1,1,1,1,1,1,false
31,12:32:35:651,target,BB Gun,0s,1,1,1,1,1,1,false
32,12:32:36:653,target,BB Gun,0.786s,3,1,0.333,1,3,0.333,false
33,12:32:36:908,target,BB Gun,0.001s,1,1,1,1,1,1,false
34,12:32:37:333,target,BB Gun,0.001s,1,1,1,1,1,1,false
35,12:32:37:971,target,BB Gun,0.219s,2,1,0.5,1,2,0.5,false
36,12:32:38:233,target,BB Gun,0s,1,1,1,1,1,1,false
37,12:32:38:704,target,BB Gun,0s,1,1,1,1,1,1,false
38,12:32:38:864,target,BB Gun,0s,1,1,1,1,1,1,false
39,12:32:39:034,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,12:32:39:997,target,BB Gun,0.404s,2,1,0.5,1,2,0.5,false
41,12:32:40:565,target,BB Gun,0s,1,1,1,1,1,1,false
42,12:32:40:724,target,BB Gun,0s,1,1,1,1,1,1,false
43,12:32:41:031,target,BB Gun,0s,1,1,1,1,1,1,false
44,12:32:41:310,target,BB Gun,0s,1,1,1,1,1,1,false
45,12:32:41:552,target,BB Gun,0.001s,1,1,1,1,1,1,false
46,12:32:41:839,target,BB Gun,0s,1,1,1,1,1,1,false
47,12:32:42:729,target,BB Gun,0.612s,3,1,0.333,1,3,0.333,false
48,12:32:43:898,target,BB Gun,0.904s,3,1,0.333,1,3,0.333,false
49,12:32:44:125,target,BB Gun,0s,1,1,1,1,1,1,false
50,12:32:44:267,target,BB Gun,0s,1,1,1,1,1,1,false
51,12:32:44:661,target,BB Gun,0s,1,1,1,1,1,1,false
52,12:32:44:872,target,BB Gun,0s,1,1,1,1,1,1,false
53,12:32:45:671,target,BB Gun,0.501s,2,1,0.5,1,2,0.5,false
54,12:32:46:118,target,BB Gun,0s,1,1,1,1,1,1,false
55,12:32:46:527,target,BB Gun,0s,1,1,1,1,1,1,false
56,12:32:46:834,target,BB Gun,0s,1,1,1,1,1,1,false
57,12:32:47:140,target,BB Gun,0.001s,1,1,1,1,1,1,false
58,12:32:47:397,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,12:32:47:620,target,BB Gun,0s,1,1,1,1,1,1,false
60,12:32:48:353,target,BB Gun,0.518s,2,1,0.5,1,2,0.5,false
61,12:32:48:670,target,BB Gun,0s,1,1,1,1,1,1,false
62,12:32:48:962,target,BB Gun,0s,1,1,1,1,1,1,false
63,12:32:49:194,target,BB Gun,0s,1,1,1,1,1,1,false
64,12:32:49:534,target,BB Gun,0s,1,1,1,1,1,1,false
65,12:32:49:884,target,BB Gun,0s,1,1,1,1,1,1,false
66,12:32:50:387,target,BB Gun,0s,1,1,1,1,1,1,false
67,12:32:50:644,target,BB Gun,0s,1,1,1,1,1,1,false
68,12:32:51:317,target,BB Gun,0.398s,2,1,0.5,1,2,0.5,false
69,12:32:51:553,target,BB Gun,0s,1,1,1,1,1,1,false
70,12:32:51:973,target,BB Gun,0s,1,1,1,1,1,1,false
71,12:32:52:137,target,BB Gun,0s,1,1,1,1,1,1,false
72,12:32:52:510,target,BB Gun,0s,1,1,1,1,1,1,false
73,12:32:52:700,target,BB Gun,0s,1,1,1,1,1,1,false
74,12:32:53:090,target,BB Gun,0s,1,1,1,1,1,1,false
75,12:32:53:405,target,BB Gun,0s,1,1,1,1,1,1,false
