Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:01:11:612,target,pistol,0s,1,1,1,25,50,0.5,false
2,20:01:11:774,target,pistol,0s,1,1,1,25,50,0.5,false
3,20:01:11:964,target,pistol,0s,1,1,1,25,50,0.5,false
4,20:01:12:151,target,pistol,0s,1,1,1,25,50,0.5,false
5,20:01:12:414,target,pistol,0s,1,1,1,25,50,0.5,false
6,20:01:12:656,target,pistol,0s,1,1,1,25,50,0.5,false
7,20:01:13:107,target,pistol,0.184s,2,1,0.5,25,100,0.25,false
8,20:01:13:265,target,pistol,0.001s,1,1,1,25,50,0.5,false
9,20:01:13:423,target,pistol,0s,1,1,1,25,50,0.5,false
10,20:01:13:986,target,pistol,0.336s,2,1,0.5,25,100,0.25,false
11,20:01:14:135,target,pistol,0s,1,1,1,25,50,0.5,false
12,20:01:14:307,target,pistol,0s,1,1,1,25,50,0.5,false
13,20:01:14:472,target,pistol,0s,1,1,1,25,50,0.5,false
14,20:01:14:667,target,pistol,0s,1,1,1,25,50,0.5,false
15,20:01:15:085,target,pistol,0s,1,1,1,25,50,0.5,false
16,20:01:15:422,target,pistol,0s,1,1,1,25,50,0.5,false
17,20:01:15:626,target,pistol,0s,1,1,1,25,50,0.5,false
18,20:01:15:819,target,pistol,0s,1,1,1,25,50,0.5,false
19,20:01:16:045,target,pistol,0s,1,1,1,25,50,0.5,false
20,20:01:16:257,target,pistol,0s,1,1,1,25,50,0.5,false
21,20:01:16:449,target,pistol,0s,1,1,1,25,50,0.5,false
22,20:01:16:848,target,pistol,0.206s,2,1,0.5,25,100,0.25,false
23,20:01:17:065,target,pistol,0s,1,1,1,25,50,0.5,false
24,20:01:17:227,target,pistol,0s,1,1,1,25,50,0.5,false
25,20:01:17:838,target,pistol,0.262s,2,1,0.5,25,100,0.25,false
26,20:01:18:179,target,pistol,0.178s,2,1,0.5,25,100,0.25,false
27,20:01:18:392,target,pistol,0s,1,1,1,25,50,0.5,false
28,20:01:18:974,target,pistol,0s,1,1,1,25,50,0.5,false
29,20:01:19:140,target,pistol,0s,1,1,1,25,50,0.5,false
30,20:01:19:766,target,pistol,0.445s,2,1,0.5,25,100,0.25,false
31,20:01:19:949,target,pistol,0s,1,1,1,25,50,0.5,false
32,20:01:20:417,target,pistol,0.281s,2,1,0.5,25,100,0.25,false
33,20:01:20:832,target,pistol,0.001s,1,1,1,25,50,0.5,false
34,20:01:21:011,target,pistol,0s,1,1,1,25,50,0.5,false
35,20:01:21:233,target,pistol,0s,1,1,1,25,50,0.5,false
36,20:01:21:448,target,pistol,0s,1,1,1,25,50,0.5,false
37,20:01:21:666,target,pistol,0s,1,1,1,25,50,0.5,false
38,20:01:21:971,target,pistol,0s,1,1,1,25,50,0.5,false
39,20:01:22:311,target,pistol,0s,1,1,1,25,50,0.5,false
40,20:01:22:505,target,pistol,0s,1,1,1,25,50,0.5,false
41,20:01:22:710,target,pistol,0s,1,1,1,25,50,0.5,false
42,20:01:22:900,target,pistol,0s,1,1,1,25,50,0.5,false
43,20:01:23:270,target,pistol,0.172s,2,1,0.5,25,100,0.25,false
44,20:01:23:640,target,pistol,0s,1,1,1,25,50,0.5,false
45,20:01:23:849,target,pistol,0s,1,1,1,25,50,0.5,false
46,20:01:24:476,target,pistol,0.351s,2,1,0.5,25,100,0.25,false
47,20:01:25:346,target,pistol,0.677s,3,1,0.333,25,150,0.167,false
48,20:01:25:574,target,pistol,0s,1,1,1,25,50,0.5,false
49,20:01:25:821,target,pistol,0s,1,1,1,25,50,0.5,false
50,20:01:26:047,target,pistol,0s,1,1,1,25,50,0.5,false
51,20:01:26:570,target,pistol,0.327s,2,1,0.5,25,100,0.25,false
52,20:01:26:974,target,pistol,0s,1,1,1,25,50,0.5,false
53,20:01:27:150,target,pistol,0s,1,1,1,25,50,0.5,false
54,20:01:27:361,target,pistol,0s,1,1,1,25,50,0.5,false
55,20:01:27:748,target,pistol,0.001s,1,1,1,25,50,0.5,false
56,20:01:28:312,target,pistol,0s,1,1,1,25,50,0.5,false
57,20:01:28:632,target,pistol,0s,1,1,1,25,50,0.5,false
58,20:01:28:945,target,pistol,0s,1,1,1,25,50,0.5,false
59,20:01:29:323,target,pistol,0.18s,2,1,0.5,25,100,0.25,false
60,20:01:30:103,target,pistol,0.434s,3,1,0.333,25,150,0.167,false
61,20:01:30:299,target,pistol,0s,1,1,1,25,50,0.5,false
62,20:01:30:702,target,pistol,0s,1,1,1,25,50,0.5,false
63,20:01:30:898,target,pistol,0s,1,1,1,25,50,0.5,false
64,20:01:31:098,target,pistol,0s,1,1,1,25,50,0.5,false
65,20:01:31:310,target,pistol,0s,1,1,1,25,50,0.5,false
66,20:01:31:542,target,pistol,0s,1,1,1,25,50,0.5,false
67,20:01:31:802,target,pistol,0s,1,1,1,25,50,0.5,false
68,20:01:32:070,target,pistol,0.001s,1,1,1,25,50,0.5,false
69,20:01:32:741,target,pistol,0.252s,2,1,0.5,25,100,0.25,false
70,20:01:32:929,target,pistol,0s,1,1,1,25,50,0.5,false
71,20:01:33:120,target,pistol,0s,1,1,1,25,50,0.5,false
72,20:01:33:368,target,pistol,0s,1,1,1,25,50,0.5,false
73,20:01:33:651,target,pistol,0s,1,1,1,25,50,0.5,false
74,20:01:33:870,target,pistol,0s,1,1,1,25,50,0.5,false
75,20:01:34:383,target,pistol,0.234s,2,1,0.5,25,100,0.25,false
76,20:01:34:548,target,pistol,0s,1,1,1,25,50,0.5,false
77,20:01:34:766,target,pistol,0s,1,1,1,25,50,0.5,false
78,20:01:35:350,target,pistol,0.273s,2,1,0.5,25,100,0.25,false
79,20:01:35:526,target,pistol,0s,1,1,1,25,50,0.5,false
80,20:01:35:687,target,pistol,0s,1,1,1,25,50,0.5,false
81,20:01:35:931,target,pistol,0s,1,1,1,25,50,0.5,false
82,20:01:36:184,target,pistol,0s,1,1,1,25,50,0.5,false
83,20:01:36:390,target,pistol,0s,1,1,1,25,50,0.5,false
84,20:01:36:580,target,pistol,0s,1,1,1,25,50,0.5,false
85,20:01:37:100,target,pistol,0.316s,2,1,0.5,25,100,0.25,false
86,20:01:37:269,target,pistol,0s,1,1,1,25,50,0.5,false
87,20:01:37:858,target,pistol,0.418s,2,1,0.5,25,100,0.25,false
88,20:01:38:029,target,pistol,0s,1,1,1,25,50,0.5,false
89,20:01:38:222,target,pistol,0s,1,1,1,25,50,0.5,false
90,20:01:38:447,target,pistol,0s,1,1,1,25,50,0.5,false
91,20:01:38:762,target,pistol,0.001s,1,1,1,25,50,0.5,false
92,20:01:39:003,target,pistol,0s,1,1,1,25,50,0.5,false
93,20:01:39:597,target,pistol,0.211s,2,1,0.5,25,100,0.25,false
94,20:01:39:772,target,pistol,0.001s,1,1,1,25,50,0.5,false
95,20:01:40:012,target,pistol,0s,1,1,1,25,50,0.5,false
96,20:01:40:272,target,pistol,0s,1,1,1,25,50,0.5,false
97,20:01:40:474,target,pistol,0s,1,1,1,25,50,0.5,false
98,20:01:40:692,target,pistol,0s,1,1,1,25,50,0.5,false
99,20:01:40:983,target,pistol,0.001s,1,1,1,25,50,0.5,false
100,20:01:41:614,target,pistol,0.334s,2,1,0.5,25,100,0.25,false
101,20:01:41:787,target,pistol,0s,1,1,1,25,50,0.5,false
102,20:01:41:982,target,pistol,0s,1,1,1,25,50,0.5,false
