Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:49:59:571,target,pistol,0s,1,1,1,25,50,0.5,false
2,20:49:59:722,target,pistol,0s,1,1,1,25,50,0.5,false
3,20:49:59:922,target,pistol,0s,1,1,1,25,50,0.5,false
4,20:50:00:256,target,pistol,0s,1,1,1,25,50,0.5,false
5,20:50:00:516,target,pistol,0s,1,1,1,25,50,0.5,false
6,20:50:00:666,target,pistol,0s,1,1,1,25,50,0.5,false
7,20:50:00:870,target,pistol,0s,1,1,1,25,50,0.5,false
8,20:50:01:104,target,pistol,0s,1,1,1,25,50,0.5,false
9,20:50:01:285,target,pistol,0s,1,1,1,25,50,0.5,false
10,20:50:01:765,target,pistol,0.2s,2,1,0.5,25,100,0.25,false
11,20:50:01:945,target,pistol,0s,1,1,1,25,50,0.5,false
12,20:50:02:135,target,pistol,0s,1,1,1,25,50,0.5,false
13,20:50:02:332,target,pistol,0s,1,1,1,25,50,0.5,false
14,20:50:02:536,target,pistol,0s,1,1,1,25,50,0.5,false
15,20:50:02:713,target,pistol,0.001s,1,1,1,25,50,0.5,false
16,20:50:02:910,target,pistol,0s,1,1,1,25,50,0.5,false
17,20:50:03:097,target,pistol,0s,1,1,1,25,50,0.5,false
18,20:50:03:374,target,pistol,0s,1,1,1,25,50,0.5,false
19,20:50:03:557,target,pistol,0s,1,1,1,25,50,0.5,false
20,20:50:03:781,target,pistol,0s,1,1,1,25,50,0.5,false
21,20:50:03:994,target,pistol,0s,1,1,1,25,50,0.5,false
22,20:50:04:165,target,pistol,0s,1,1,1,25,50,0.5,false
23,20:50:04:598,target,pistol,0.166s,2,1,0.5,25,100,0.25,false
24,20:50:04:776,target,pistol,0.001s,1,1,1,25,50,0.5,false
25,20:50:05:069,target,pistol,0s,1,1,1,25,50,0.5,false
26,20:50:05:243,target,pistol,0.001s,1,1,1,25,50,0.5,false
27,20:50:05:450,target,pistol,0s,1,1,1,25,50,0.5,false
28,20:50:05:627,target,pistol,0s,1,1,1,25,50,0.5,false
29,20:50:05:813,target,pistol,0s,1,1,1,25,50,0.5,false
30,20:50:06:103,target,pistol,0s,1,1,1,25,50,0.5,false
31,20:50:06:297,target,pistol,0.001s,1,1,1,25,50,0.5,false
32,20:50:06:535,target,pistol,0.001s,1,1,1,25,50,0.5,false
33,20:50:06:705,target,pistol,0s,1,1,1,25,50,0.5,false
