Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:02:51:490,target,pistol,0s,1,1,1,25,50,0.5,false
2,12:02:51:682,target,pistol,0s,1,1,1,25,50,0.5,false
3,12:02:51:944,target,pistol,0s,1,1,1,25,50,0.5,false
4,12:02:52:162,target,pistol,0s,1,1,1,25,50,0.5,false
5,12:02:52:407,target,pistol,0s,1,1,1,25,50,0.5,false
6,12:02:52:641,target,pistol,0s,1,1,1,25,50,0.5,false
7,12:02:52:840,target,pistol,0s,1,1,1,25,50,0.5,false
8,12:02:53:070,target,pistol,0s,1,1,1,25,50,0.5,false
9,12:02:53:278,target,pistol,0s,1,1,1,25,50,0.5,false
10,12:02:53:450,target,pistol,0s,1,1,1,25,50,0.5,false
11,12:02:53:700,target,pistol,0.001s,1,1,1,25,50,0.5,false
12,12:02:53:946,target,pistol,0s,1,1,1,25,50,0.5,false
13,12:02:54:135,target,pistol,0s,1,1,1,25,50,0.5,false
14,12:02:54:338,target,pistol,0s,1,1,1,25,50,0.5,false
15,12:02:54:547,target,pistol,0s,1,1,1,25,50,0.5,false
16,12:02:54:735,target,pistol,0s,1,1,1,25,50,0.5,false
17,12:02:54:964,target,pistol,0s,1,1,1,25,50,0.5,false
18,12:02:55:165,target,pistol,0s,1,1,1,25,50,0.5,false
19,12:02:55:377,target,pistol,0s,1,1,1,25,50,0.5,false
20,12:02:55:586,target,pistol,0s,1,1,1,25,50,0.5,false
21,12:02:55:753,target,pistol,0s,1,1,1,25,50,0.5,false
22,12:02:56:045,target,pistol,0s,1,1,1,25,50,0.5,false
23,12:02:56:221,target,pistol,0s,1,1,1,25,50,0.5,false
24,12:02:56:400,target,pistol,0s,1,1,1,25,50,0.5,false
25,12:02:56:603,target,pistol,0s,1,1,1,25,50,0.5,false
26,12:02:56:816,target,pistol,0s,1,1,1,25,50,0.5,false
27,12:02:57:033,target,pistol,0s,1,1,1,25,50,0.5,false
28,12:02:57:700,target,pistol,0.375s,2,1,0.5,25,100,0.25,false
29,12:02:57:880,target,pistol,0s,1,1,1,25,50,0.5,false
30,12:02:58:071,target,pistol,0s,1,1,1,25,50,0.5,false
31,12:02:58:226,target,pistol,0s,1,1,1,25,50,0.5,false
32,12:02:58:584,target,pistol,0s,1,1,1,25,50,0.5,false
33,12:02:58:797,target,pistol,0s,1,1,1,25,50,0.5,false
34,12:02:59:648,target,pistol,0.646s,2,1,0.5,25,100,0.25,false
35,12:02:59:811,target,pistol,0s,1,1,1,25,50,0.5,false
36,12:02:59:999,target,pistol,0s,1,1,1,25,50,0.5,false
37,12:03:00:196,target,pistol,0s,1,1,1,25,50,0.5,false
