Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:12:21:482,Long Strafe Bot,Alcove_Tracking_Weapon,1.845s,934,555,0.594,505,850,0.594,false
2,12:12:27:173,Long Strafe Bot,Alcove_Tracking_Weapon,2.401s,1242,507,0.408,505,1130,0.447,false
3,12:12:29:330,Long Strafe Bot,Alcove_Tracking_Weapon,1.552s,747,536,0.718,505,680,0.743,false
4,12:12:32:640,Long Strafe Bot,Alcove_Tracking_Weapon,1.978s,1011,547,0.541,506,920,0.55,false
5,12:12:35:308,Long Strafe Bot,Alcove_Tracking_Weapon,1.609s,813,518,0.637,502,740,0.678,false
6,12:12:38:327,Long Strafe Bot,Alcove_Tracking_Weapon,1.759s,835,553,0.662,504,760,0.663,false
7,12:12:43:078,Long Strafe Bot,Alcove_Tracking_Weapon,2.664s,1231,560,0.455,506,1120,0.452,false
8,12:12:46:987,Long Strafe Bot,Alcove_Tracking_Weapon,3.098s,1506,520,0.345,520,1370,0.38,false
9,12:12:49:625,Long Strafe Bot,Alcove_Tracking_Weapon,2.23s,1022,532,0.521,490,930,0.527,false
10,12:12:53:948,Long Strafe Bot,Alcove_Tracking_Weapon,1.989s,1022,550,0.538,507,930,0.545,false
11,12:12:57:281,Long Strafe Bot,Alcove_Tracking_Weapon,2.122s,890,547,0.615,502,810,0.62,false
12,12:13:01:674,Long Strafe Bot,Alcove_Tracking_Weapon,2.248s,989,544,0.55,501,900,0.557,false
13,12:13:06:835,Long Strafe Bot,Alcove_Tracking_Weapon,3.926s,1759,1059,0.602,984,1600,0.615,false
14,12:13:07:366,Long Strafe Bot,Alcove_Tracking_Weapon,0.137s,87,26,0.299,26,80,0.325,false
15,12:13:11:373,Long Strafe Bot,Alcove_Tracking_Weapon,2.234s,923,546,0.592,502,840,0.598,false
16,12:13:14:133,Long Strafe Bot,Alcove_Tracking_Weapon,2.103s,1044,543,0.52,505,950,0.532,false
17,12:13:17:250,Long Strafe Bot,Alcove_Tracking_Weapon,2.491s,1198,507,0.423,507,1090,0.465,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Alcove_Tracking_Weapon,17627,9384,8800.0,16040.0,

Kills:,17
Deaths:,0
Fight Time:,36.386002
Avg TTK:,2.14
Damage Done:,8800.0
Damage Taken:,0.0
Midairs:,114
Midaired:,0
Directs:,584
Directed:,0
Distance Traveled:,0.0
Score:,4827.930176
Scenario:,Ascended Tracking
Hash:,a150254c8cd291ef51a1acb2f772c4f1
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,240.0
Sens Scale:,Quake/Source
Horiz Sens:,2.252
Vert Sens:,2.252
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
