Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:55:51:477,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,00:55:52:961,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,00:55:54:659,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,00:55:55:062,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,00:55:55:846,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,00:55:56:928,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,00:55:58:366,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,00:56:00:901,Pigeon,pistol,1.47s,3,1,0.333,50,375,0.133,false
9,00:56:02:358,Pigeon,pistol,0.936s,2,1,0.5,50,250,0.2,false
10,00:56:03:105,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,00:56:03:771,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,00:56:04:357,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,00:56:05:078,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,00:56:06:472,Pigeon,pistol,0.817s,2,1,0.5,50,250,0.2,false
15,00:56:08:230,Pigeon,pistol,0.634s,2,1,0.5,50,250,0.2,false
16,00:56:09:172,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,00:56:11:050,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,00:56:12:081,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,00:56:13:248,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,00:56:13:622,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,00:56:14:668,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,00:56:16:001,Pigeon,pistol,0.646s,2,1,0.5,50,250,0.2,false
23,00:56:18:140,Pigeon,pistol,1.682s,3,1,0.333,50,375,0.133,false
24,00:56:19:273,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,00:56:23:116,Pigeon,pistol,2.778s,3,1,0.333,50,375,0.133,false
26,00:56:23:566,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
27,00:56:25:555,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,00:56:27:261,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,00:56:28:557,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,00:56:32:798,Pigeon,pistol,3.163s,4,1,0.25,50,500,0.1,false
31,00:56:33:805,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,00:56:35:050,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,00:56:38:866,Pigeon,pistol,3.091s,4,1,0.25,50,500,0.1,false
34,00:56:40:092,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,00:56:41:328,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,00:56:42:570,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,00:56:43:187,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,00:56:46:764,Pigeon,pistol,2.83s,3,1,0.333,50,375,0.133,false
39,00:56:48:841,Pigeon,pistol,1.446s,2,1,0.5,50,250,0.2,false
40,00:56:50:367,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,00:56:51:237,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,00:56:52:976,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,00:56:53:937,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,00:56:55:853,Pigeon,pistol,0.56s,2,1,0.5,50,250,0.2,false
45,00:56:56:700,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,00:56:57:107,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,00:56:58:279,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,47,2350.0,8625.0,

Kills:,47
Deaths:,0
Fight Time:,20.054001
Avg TTK:,0.427
Damage Done:,2350.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,32.014492
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
