Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:08:10:649,Quaker Bot Long Strafes,LG,5.042s,110,50,0.455,300,660,0.455,false
2,12:08:16:501,Quaker Bot Long Strafes,LG,4.096s,88,50,0.568,300,528,0.568,false
3,12:08:23:543,Quaker Bot Long Strafes,LG,5.013s,99,50,0.505,300,594,0.505,false
4,12:08:30:864,Quaker Bot Long Strafes,LG,5.359s,116,50,0.431,300,696,0.431,false
5,12:08:38:911,Quaker Bot Long Strafes,LG,7.81s,120,50,0.417,300,720,0.417,false
6,12:08:45:234,Quaker Bot Long Strafes,LG,4.183s,92,50,0.543,300,552,0.543,false
7,12:08:52:109,Quaker Bot Long Strafes,LG,4.826s,100,50,0.5,300,600,0.5,false
8,12:08:58:568,Quaker Bot Long Strafes,LG,4.459s,98,50,0.51,300,588,0.51,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,906,448,2688.0,5436.0,

Kills:,8
Deaths:,0
Fight Time:,40.787998
Avg TTK:,5.098
Damage Done:,2688.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3987.496582
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,240.0
Sens Scale:,Quake/Source
Horiz Sens:,2.252
Vert Sens:,2.252
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
