Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:10:50:539,Quaker Bot Long Strafes,LG,5.257s,108,50,0.463,300,648,0.463,false
2,01:10:57:482,Quaker Bot Long Strafes,LG,5.027s,106,50,0.472,300,636,0.472,false
3,01:11:02:470,Quaker Bot Long Strafes,LG,4.723s,66,50,0.758,300,396,0.758,false
4,01:11:08:289,Quaker Bot Long Strafes,LG,3.772s,81,50,0.617,300,486,0.617,false
5,01:11:13:824,Quaker Bot Long Strafes,LG,3.449s,76,50,0.658,300,456,0.658,false
6,01:11:19:731,Quaker Bot Long Strafes,LG,3.704s,79,50,0.633,300,474,0.633,false
7,01:11:27:723,Quaker Bot Long Strafes,LG,7.718s,128,50,0.391,300,768,0.391,false
8,01:11:33:895,Quaker Bot Long Strafes,LG,4.023s,87,50,0.575,300,522,0.575,false
9,01:11:40:088,Quaker Bot Long Strafes,LG,4.229s,93,50,0.538,300,558,0.538,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,865,465,2790.0,5190.0,

Kills:,9
Deaths:,0
Fight Time:,41.902
Avg TTK:,4.656
Damage Done:,2790.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,531.343689
Score:,4499.47998
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,223.0
Sens Scale:,Quake/Source
Horiz Sens:,1.89
Vert Sens:,1.89
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
