Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:06:26:823,Watcher Bot Long Strafes,Monk Orb,3.404s,8,3,0.375,230,736,0.312,false
2,23:06:34:413,Watcher Bot Long Strafes,Monk Orb,5.544s,13,4,0.308,230,1196,0.192,false
3,23:06:44:408,Watcher Bot Long Strafes,Monk Orb,8.049s,19,5,0.263,230,1748,0.132,false
4,23:06:49:446,Watcher Bot Long Strafes,Monk Orb,2.836s,7,3,0.429,276,644,0.429,false
5,23:06:56:019,Watcher Bot Long Strafes,Monk Orb,4.589s,12,4,0.333,230,1104,0.208,false
6,23:07:04:578,Watcher Bot Long Strafes,Monk Orb,6.3s,16,3,0.188,230,1472,0.156,false
7,23:07:10:993,Watcher Bot Long Strafes,Monk Orb,4.139s,11,5,0.455,230,1012,0.227,false
8,23:07:15:389,Watcher Bot Long Strafes,Monk Orb,4.325s,8,5,0.625,230,736,0.312,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Monk Orb,108,36,2070.0,9936.0,

Kills:,8
Deaths:,0
Fight Time:,39.186001
Avg TTK:,4.898
Damage Done:,2070.0
Damage Taken:,0.0
Midairs:,10
Midaired:,0
Directs:,36
Directed:,0
Distance Traveled:,0.0
Score:,6210.0
Scenario:,Cata Orb Long Strafes
Hash:,d778902b3c441a8c53876d9a0229ac4f
Game Version:,2.0.0.1

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,2.02
Vert Sens:,2.02
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
