Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:09:26:104,Quaker Bot Fast Strafes,LG,9.102s,198,67,0.338,402,1188,0.338,false
2,13:09:39:185,Quaker Bot Fast Strafes,LG,11.495s,247,67,0.271,402,1482,0.271,false
3,13:09:52:680,Quaker Bot Fast Strafes,LG,12.01s,248,67,0.27,402,1488,0.27,false
4,13:10:02:295,Quaker Bot Fast Strafes,LG,8.145s,173,67,0.387,402,1038,0.387,false
5,13:10:15:307,Quaker Bot Fast Strafes,LG,11.619s,230,67,0.291,402,1380,0.291,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1096,335,2010.0,6576.0,

Kills:,5
Deaths:,0
Fight Time:,52.370998
Avg TTK:,10.474
Damage Done:,2010.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,31652.328125
Score:,8955.492188
Scenario:,Close FS Easy Dodge
Hash:,7cba877273be94b0f315bd1e8a79eb68
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.92
Vert Sens:,1.92
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
