Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:56:10:017,Quaker Bot Fast Strafes,Shotgun,9.508s,100,38,0.38,532,1400,0.38,false
2,17:56:23:302,Quaker Bot Fast Strafes,Shotgun,9.186s,90,36,0.4,504,1260,0.4,false
3,17:56:33:360,Quaker Bot Fast Strafes,Shotgun,7.192s,70,37,0.529,518,980,0.529,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Shotgun,450,140,1960.0,6300.0,

Kills:,3
Deaths:,0
Fight Time:,25.886
Avg TTK:,8.629
Damage Done:,1960.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,126.6082
Score:,5880.0
Scenario:,Close Fast Strafes Shotgun
Hash:,b4e87b148bd666920306dac2f3014069
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
