Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:57:41:489,Quaker Bot Fast Strafes,Shotgun,12.186s,100,40,0.4,560,1400,0.4,false
2,21:57:59:507,Quaker Bot Fast Strafes,Shotgun,14.995s,90,40,0.444,560,1260,0.444,false
3,21:58:19:426,Quaker Bot Fast Strafes,Shotgun,16.963s,100,40,0.4,560,1400,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Shotgun,330,129,1806.0,4620.0,

Kills:,3
Deaths:,0
Fight Time:,44.144001
Avg TTK:,14.715
Damage Done:,1806.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,5394.039551
Score:,5957.403809
Scenario:,Close Fast Strafes Shotgun FN 1x1
Hash:,b0837742132a0da5f25a69200d5751b1
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,223.0
Sens Scale:,Quake/Source
Horiz Sens:,1.89
Vert Sens:,1.89
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
