Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:45:48:990,Quaker Bot Long Strafes,LG,3.121s,63,50,0.794,300,378,0.794,false
2,21:45:55:378,Quaker Bot Long Strafes,LG,6.105s,80,50,0.625,300,480,0.625,false
3,21:46:01:981,Quaker Bot Long Strafes,LG,4.265s,85,50,0.588,300,510,0.588,false
4,21:46:08:609,Quaker Bot Long Strafes,LG,4.219s,82,50,0.61,300,492,0.61,false
5,21:46:15:826,Quaker Bot Long Strafes,LG,4.946s,91,50,0.549,300,546,0.549,false
6,21:46:22:827,Quaker Bot Long Strafes,LG,4.862s,90,50,0.556,300,540,0.556,false
7,21:46:31:989,Quaker Bot Long Strafes,LG,5.731s,106,50,0.472,300,636,0.472,false
8,21:46:41:142,Quaker Bot Long Strafes,LG,5.377s,99,50,0.505,300,594,0.505,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,727,417,2502.0,4362.0,

Kills:,8
Deaths:,0
Fight Time:,38.625999
Avg TTK:,4.828
Damage Done:,2502.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,7506.0
Scenario:,Close Long Strafes
Hash:,83561ba3083cb7b6cb2b283139537f55
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,223.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
