Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:48:28:843,IAFortnite,FN AR,2.958s,15,4,0.267,102.699,900,0.114,false
2,23:48:33:124,IAFortnite,FN AR,3.199s,18,4,0.222,111.523,1080,0.103,false
3,23:48:38:198,IAFortnite,FN AR,3.634s,20,6,0.3,168.056,1200,0.14,false
4,23:48:40:568,IAFortnite,FN AR,1.581s,7,2,0.286,55.974,420,0.133,false
5,23:48:43:387,IAFortnite,FN AR,1.364s,8,4,0.5,100.288,480,0.209,false
6,23:48:46:572,IAFortnite,FN AR,2.261s,12,4,0.333,100.06,720,0.139,false
7,23:48:50:430,IAFortnite,FN AR,3.193s,14,4,0.286,100,840,0.119,false
8,23:48:54:733,IAFortnite,FN AR,2.589s,12,4,0.333,111.179,720,0.154,false
9,23:48:57:460,IAFortnite,FN AR,2.376s,14,4,0.286,112.002,840,0.133,false
10,23:49:03:095,IAFortnite,FN AR,4.944s,26,4,0.154,101.978,1560,0.065,false
11,23:49:06:172,IAFortnite,FN AR,1.953s,10,4,0.4,100,600,0.167,false
12,23:49:08:362,IAFortnite,FN AR,1.138s,7,4,0.571,103.61,420,0.247,false
13,23:49:10:844,IAFortnite,FN AR,1.634s,10,4,0.4,100.358,600,0.167,false
14,23:49:16:282,IAFortnite,FN AR,4.725s,27,4,0.148,100,1620,0.062,false
15,23:49:18:379,IAFortnite,FN AR,1.27s,8,4,0.5,112.191,480,0.234,false
16,23:49:23:905,IAFortnite,FN AR,4.757s,27,4,0.148,102.379,1620,0.063,false
17,23:49:27:777,IAFortnite,FN AR,2.72s,15,4,0.267,110.551,900,0.123,false
18,23:49:31:428,IAFortnite,FN AR,2.736s,8,4,0.5,110.963,480,0.231,false
19,23:49:35:260,IAFortnite,FN AR,3.087s,10,4,0.4,100,600,0.167,false
20,23:49:40:888,IAFortnite,FN AR,5.001s,17,4,0.235,100,1020,0.098,false
21,23:49:46:371,IAFortnite,FN AR,3.331s,17,4,0.235,111.636,1020,0.109,false
22,23:49:52:453,IAFortnite,FN AR,5.858s,22,4,0.182,101.09,1320,0.077,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
FN AR,331,91,2399.252686,19860.0,

Kills:,22
Deaths:,0
Fight Time:,66.308998
Avg TTK:,3.014
Damage Done:,2399.252686
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2619.252686
Scenario:,Fortnite - AR Tracking
Hash:,70fe8899ac5a607548f4308e112f9f98
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
