Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:40:33:897,Pigeon2,Shotgun,2.31s,30,18,0.6,252,420,0.6,false
2,00:40:35:050,Pigeon,Shotgun,0.001s,10,6,0.6,84,140,0.6,false
3,00:40:39:669,Pigeon3,Shotgun,3.588s,30,8,0.267,112,420,0.267,false
4,00:40:44:363,Pigeon4,Shotgun,0.569s,20,6,0.3,84,280,0.3,false
5,00:40:48:804,Pigeon3,Shotgun,3.238s,50,17,0.34,238,700,0.34,false
6,00:40:50:825,Pigeon2,Shotgun,0.566s,20,13,0.65,182,280,0.65,false
7,00:40:51:864,Pigeon5,Shotgun,0.001s,10,1,0.1,14,140,0.1,false
8,00:40:54:892,Pigeon2,Shotgun,0.56s,20,11,0.55,154,280,0.55,false
9,00:40:57:998,Pigeon3,Shotgun,0.538s,20,8,0.4,112,280,0.4,false
10,00:40:59:227,Pigeon2,Shotgun,0s,10,10,1,140,140,1,false
11,00:41:01:392,Pigeon,Shotgun,0.001s,10,10,1,140,140,1,false
12,00:41:03:216,Pigeon2,Shotgun,0.001s,10,10,1,140,140,1,false
13,00:41:05:977,Pigeon4,Shotgun,0.807s,20,17,0.85,238,280,0.85,false
14,00:41:09:891,Pigeon,Shotgun,3.221s,20,2,0.1,28,280,0.1,false
15,00:41:10:690,Pigeon4,Shotgun,0.001s,10,10,1,140,140,1,false
16,00:41:14:898,Pigeon,Shotgun,3.254s,40,8,0.2,112,560,0.2,false
17,00:41:17:105,Pigeon5,Shotgun,0.617s,20,17,0.85,238,280,0.85,false
18,00:41:21:680,Pigeon3,Shotgun,3.63s,50,24,0.48,336,700,0.48,false
19,00:41:24:459,Pigeon4,Shotgun,1.669s,40,12,0.3,168,560,0.3,false
20,00:41:26:543,Pigeon3,Shotgun,0.631s,20,9,0.45,126,280,0.45,false
21,00:41:28:507,Pigeon4,Shotgun,0.625s,20,13,0.65,182,280,0.65,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Shotgun,490,231,3234.0,6860.0,

Kills:,21
Deaths:,0
Fight Time:,25.827999
Avg TTK:,1.23
Damage Done:,3234.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,21.0
Scenario:,Fortnite Combat Vertical
Hash:,46f43c8d0a1c3046fe8522e96e793c60
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
