Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:45:52:759,target,BB Gun,0s,1,1,1,1,1,1,false
2,14:45:52:934,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,14:45:53:126,target,BB Gun,0s,1,1,1,1,1,1,false
4,14:45:53:333,target,BB Gun,0s,1,1,1,1,1,1,false
5,14:45:53:777,target,BB Gun,0s,1,1,1,1,1,1,false
6,14:45:54:096,target,BB Gun,0s,1,1,1,1,1,1,false
7,14:45:54:408,target,BB Gun,0s,1,1,1,1,1,1,false
8,14:45:54:586,target,BB Gun,0.001s,1,1,1,1,1,1,false
9,14:45:54:764,target,BB Gun,0s,1,1,1,1,1,1,false
10,14:45:55:076,target,BB Gun,0s,1,1,1,1,1,1,false
11,14:45:55:596,target,BB Gun,0.179s,2,1,0.5,1,2,0.5,false
12,14:45:55:790,target,BB Gun,0s,1,1,1,1,1,1,false
13,14:45:56:029,target,BB Gun,0s,1,1,1,1,1,1,false
14,14:45:56:257,target,BB Gun,0s,1,1,1,1,1,1,false
15,14:45:56:455,target,BB Gun,0s,1,1,1,1,1,1,false
16,14:45:56:923,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,14:45:57:091,target,BB Gun,0s,1,1,1,1,1,1,false
18,14:45:57:337,target,BB Gun,0s,1,1,1,1,1,1,false
19,14:45:57:714,target,BB Gun,0s,1,1,1,1,1,1,false
20,14:45:57:902,target,BB Gun,0s,1,1,1,1,1,1,false
21,14:45:58:074,target,BB Gun,0s,1,1,1,1,1,1,false
22,14:45:58:400,target,BB Gun,0.001s,1,1,1,1,1,1,false
23,14:45:58:947,target,BB Gun,0.241s,2,1,0.5,1,2,0.5,false
24,14:45:59:575,target,BB Gun,0s,1,1,1,1,1,1,false
25,14:45:59:901,target,BB Gun,0s,1,1,1,1,1,1,false
26,14:46:00:156,target,BB Gun,0s,1,1,1,1,1,1,false
27,14:46:00:429,target,BB Gun,0s,1,1,1,1,1,1,false
28,14:46:00:707,target,BB Gun,0s,1,1,1,1,1,1,false
29,14:46:00:927,target,BB Gun,0s,1,1,1,1,1,1,false
30,14:46:01:142,target,BB Gun,0s,1,1,1,1,1,1,false
31,14:46:01:361,target,BB Gun,0s,1,1,1,1,1,1,false
32,14:46:01:642,target,BB Gun,0s,1,1,1,1,1,1,false
33,14:46:02:295,target,BB Gun,0s,1,1,1,1,1,1,false
34,14:46:02:480,target,BB Gun,0s,1,1,1,1,1,1,false
35,14:46:03:128,target,BB Gun,0.471s,2,1,0.5,1,2,0.5,false
36,14:46:03:300,target,BB Gun,0s,1,1,1,1,1,1,false
37,14:46:03:854,target,BB Gun,0.362s,2,1,0.5,1,2,0.5,false
38,14:46:04:053,target,BB Gun,0s,1,1,1,1,1,1,false
39,14:46:04:232,target,BB Gun,0s,1,1,1,1,1,1,false
40,14:46:04:397,target,BB Gun,0s,1,1,1,1,1,1,false
41,14:46:04:666,target,BB Gun,0s,1,1,1,1,1,1,false
42,14:46:04:938,target,BB Gun,0s,1,1,1,1,1,1,false
43,14:46:05:162,target,BB Gun,0s,1,1,1,1,1,1,false
44,14:46:05:430,target,BB Gun,0s,1,1,1,1,1,1,false
45,14:46:05:659,target,BB Gun,0s,1,1,1,1,1,1,false
46,14:46:05:997,target,BB Gun,0s,1,1,1,1,1,1,false
47,14:46:06:313,target,BB Gun,0s,1,1,1,1,1,1,false
48,14:46:06:601,target,BB Gun,0s,1,1,1,1,1,1,false
49,14:46:06:814,target,BB Gun,0s,1,1,1,1,1,1,false
50,14:46:07:004,target,BB Gun,0s,1,1,1,1,1,1,false
51,14:46:07:320,target,BB Gun,0s,1,1,1,1,1,1,false
52,14:46:07:534,target,BB Gun,0s,1,1,1,1,1,1,false
53,14:46:07:749,target,BB Gun,0s,1,1,1,1,1,1,false
54,14:46:07:978,target,BB Gun,0s,1,1,1,1,1,1,false
55,14:46:08:258,target,BB Gun,0.001s,1,1,1,1,1,1,false
56,14:46:08:479,target,BB Gun,0.001s,1,1,1,1,1,1,false
57,14:46:08:758,target,BB Gun,0s,1,1,1,1,1,1,false
58,14:46:09:067,target,BB Gun,0s,1,1,1,1,1,1,false
59,14:46:09:298,target,BB Gun,0s,1,1,1,1,1,1,false
60,14:46:09:589,target,BB Gun,0s,1,1,1,1,1,1,false
61,14:46:09:785,target,BB Gun,0s,1,1,1,1,1,1,false
62,14:46:09:987,target,BB Gun,0s,1,1,1,1,1,1,false
63,14:46:10:248,target,BB Gun,0s,1,1,1,1,1,1,false
64,14:46:10:618,target,BB Gun,0s,1,1,1,1,1,1,false
65,14:46:10:834,target,BB Gun,0s,1,1,1,1,1,1,false
66,14:46:11:088,target,BB Gun,0s,1,1,1,1,1,1,false
67,14:46:11:327,target,BB Gun,0s,1,1,1,1,1,1,false
68,14:46:11:660,target,BB Gun,0s,1,1,1,1,1,1,false
69,14:46:11:869,target,BB Gun,0s,1,1,1,1,1,1,false
70,14:46:12:098,target,BB Gun,0s,1,1,1,1,1,1,false
71,14:46:12:317,target,BB Gun,0s,1,1,1,1,1,1,false
