Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:38:44:366,target,pistol,0s,1,1,1,25,50,0.5,false
2,01:38:44:604,target,pistol,0s,1,1,1,25,50,0.5,false
3,01:38:44:947,target,pistol,0s,1,1,1,25,50,0.5,false
4,01:38:45:497,target,pistol,0.24s,2,1,0.5,25,100,0.25,false
5,01:38:45:708,target,pistol,0s,1,1,1,25,50,0.5,false
6,01:38:46:022,target,pistol,0s,1,1,1,25,50,0.5,false
7,01:38:46:264,target,pistol,0s,1,1,1,25,50,0.5,false
8,01:38:46:571,target,pistol,0s,1,1,1,25,50,0.5,false
9,01:38:46:865,target,pistol,0s,1,1,1,25,50,0.5,false
10,01:38:47:138,target,pistol,0s,1,1,1,25,50,0.5,false
11,01:38:47:588,target,pistol,0s,1,1,1,25,50,0.5,false
12,01:38:47:828,target,pistol,0s,1,1,1,25,50,0.5,false
13,01:38:48:192,target,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,14,13,325.0,700.0,

Kills:,13
Deaths:,0
Fight Time:,0.24
Avg TTK:,0.018
Damage Done:,325.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,13.0
Scenario:,Jumbo Tile Frenzy
Hash:,ae623b127466908095294aec8915487d
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,2.02
Vert Sens:,2.02
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
