Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:34:25:274,target,pistol,0s,1,1,1,25,50,0.5,false
2,15:34:25:437,target,pistol,0s,1,1,1,25,50,0.5,false
3,15:34:25:655,target,pistol,0s,1,1,1,25,50,0.5,false
4,15:34:25:834,target,pistol,0s,1,1,1,25,50,0.5,false
5,15:34:25:992,target,pistol,0s,1,1,1,25,50,0.5,false
6,15:34:26:134,target,pistol,0s,1,1,1,25,50,0.5,false
7,15:34:26:524,target,pistol,0.184s,2,1,0.5,25,100,0.25,false
8,15:34:26:685,target,pistol,0s,1,1,1,25,50,0.5,false
9,15:34:27:018,target,pistol,0.194s,2,1,0.5,25,100,0.25,false
10,15:34:27:197,target,pistol,0.001s,1,1,1,25,50,0.5,false
11,15:34:27:378,target,pistol,0s,1,1,1,25,50,0.5,false
12,15:34:27:552,target,pistol,0s,1,1,1,25,50,0.5,false
13,15:34:27:710,target,pistol,0s,1,1,1,25,50,0.5,false
14,15:34:28:086,target,pistol,0.188s,2,1,0.5,25,100,0.25,false
15,15:34:28:248,target,pistol,0s,1,1,1,25,50,0.5,false
16,15:34:28:413,target,pistol,0s,1,1,1,25,50,0.5,false
17,15:34:28:595,target,pistol,0s,1,1,1,25,50,0.5,false
18,15:34:28:737,target,pistol,0s,1,1,1,25,50,0.5,false
19,15:34:28:956,target,pistol,0s,1,1,1,25,50,0.5,false
20,15:34:29:344,target,pistol,0s,1,1,1,25,50,0.5,false
21,15:34:29:499,target,pistol,0s,1,1,1,25,50,0.5,false
22,15:34:29:664,target,pistol,0.001s,1,1,1,25,50,0.5,false
23,15:34:30:057,target,pistol,0.188s,2,1,0.5,25,100,0.25,false
24,15:34:30:424,target,pistol,0.001s,1,1,1,25,50,0.5,false
25,15:34:30:602,target,pistol,0s,1,1,1,25,50,0.5,false
26,15:34:30:756,target,pistol,0.001s,1,1,1,25,50,0.5,false
27,15:34:30:930,target,pistol,0s,1,1,1,25,50,0.5,false
28,15:34:31:074,target,pistol,0s,1,1,1,25,50,0.5,false
29,15:34:31:248,target,pistol,0s,1,1,1,25,50,0.5,false
30,15:34:31:523,target,pistol,0s,1,1,1,25,50,0.5,false
31,15:34:31:703,target,pistol,0s,1,1,1,25,50,0.5,false
32,15:34:31:871,target,pistol,0s,1,1,1,25,50,0.5,false
33,15:34:32:049,target,pistol,0s,1,1,1,25,50,0.5,false
34,15:34:32:214,target,pistol,0s,1,1,1,25,50,0.5,false
35,15:34:32:405,target,pistol,0s,1,1,1,25,50,0.5,false
36,15:34:32:604,target,pistol,0.001s,1,1,1,25,50,0.5,false
37,15:34:32:795,target,pistol,0s,1,1,1,25,50,0.5,false
38,15:34:32:937,target,pistol,0.001s,1,1,1,25,50,0.5,false
39,15:34:33:129,target,pistol,0s,1,1,1,25,50,0.5,false
40,15:34:33:584,target,pistol,0s,1,1,1,25,50,0.5,false
41,15:34:33:806,target,pistol,0s,1,1,1,25,50,0.5,false
42,15:34:33:957,target,pistol,0s,1,1,1,25,50,0.5,false
43,15:34:34:136,target,pistol,0s,1,1,1,25,50,0.5,false
44,15:34:34:321,target,pistol,0s,1,1,1,25,50,0.5,false
45,15:34:34:472,target,pistol,0s,1,1,1,25,50,0.5,false
46,15:34:34:654,target,pistol,0s,1,1,1,25,50,0.5,false
47,15:34:34:856,target,pistol,0s,1,1,1,25,50,0.5,false
48,15:34:35:037,target,pistol,0s,1,1,1,25,50,0.5,false
49,15:34:35:202,target,pistol,0s,1,1,1,25,50,0.5,false
50,15:34:35:374,target,pistol,0.001s,1,1,1,25,50,0.5,false
51,15:34:35:548,target,pistol,0s,1,1,1,25,50,0.5,false
52,15:34:35:727,target,pistol,0s,1,1,1,25,50,0.5,false
53,15:34:35:902,target,pistol,0s,1,1,1,25,50,0.5,false
54,15:34:36:060,target,pistol,0s,1,1,1,25,50,0.5,false
55,15:34:36:402,target,pistol,0s,1,1,1,25,50,0.5,false
56,15:34:36:580,target,pistol,0s,1,1,1,25,50,0.5,false
57,15:34:36:986,target,pistol,0.225s,2,1,0.5,25,100,0.25,false
58,15:34:37:261,target,pistol,0s,1,1,1,25,50,0.5,false
59,15:34:37:440,target,pistol,0s,1,1,1,25,50,0.5,false
60,15:34:37:787,target,pistol,0.194s,2,1,0.5,25,100,0.25,false
61,15:34:37:995,target,pistol,0s,1,1,1,25,50,0.5,false
62,15:34:38:248,target,pistol,0s,1,1,1,25,50,0.5,false
63,15:34:38:463,target,pistol,0s,1,1,1,25,50,0.5,false
64,15:34:38:648,target,pistol,0.001s,1,1,1,25,50,0.5,false
65,15:34:38:822,target,pistol,0s,1,1,1,25,50,0.5,false
66,15:34:39:014,target,pistol,0s,1,1,1,25,50,0.5,false
67,15:34:39:147,target,pistol,0.001s,1,1,1,25,50,0.5,false
68,15:34:39:309,target,pistol,0s,1,1,1,25,50,0.5,false
69,15:34:39:487,target,pistol,0s,1,1,1,25,50,0.5,false
70,15:34:39:668,target,pistol,0s,1,1,1,25,50,0.5,false
71,15:34:39:977,target,pistol,0s,1,1,1,25,50,0.5,false
72,15:34:40:372,target,pistol,0s,1,1,1,25,50,0.5,false
73,15:34:40:560,target,pistol,0s,1,1,1,25,50,0.5,false
74,15:34:40:725,target,pistol,0s,1,1,1,25,50,0.5,false
75,15:34:40:893,target,pistol,0s,1,1,1,25,50,0.5,false
76,15:34:41:086,target,pistol,0s,1,1,1,25,50,0.5,false
77,15:34:41:278,target,pistol,0.001s,1,1,1,25,50,0.5,false
78,15:34:41:436,target,pistol,0s,1,1,1,25,50,0.5,false
79,15:34:41:610,target,pistol,0s,1,1,1,25,50,0.5,false
80,15:34:41:785,target,pistol,0s,1,1,1,25,50,0.5,false
81,15:34:41:980,target,pistol,0s,1,1,1,25,50,0.5,false
82,15:34:42:155,target,pistol,0s,1,1,1,25,50,0.5,false
83,15:34:42:324,target,pistol,0s,1,1,1,25,50,0.5,false
84,15:34:42:528,target,pistol,0s,1,1,1,25,50,0.5,false
85,15:34:42:700,target,pistol,0s,1,1,1,25,50,0.5,false
86,15:34:42:875,target,pistol,0s,1,1,1,25,50,0.5,false
87,15:34:43:020,target,pistol,0s,1,1,1,25,50,0.5,false
88,15:34:43:390,target,pistol,0.168s,2,1,0.5,25,100,0.25,false
89,15:34:43:645,target,pistol,0.001s,1,1,1,25,50,0.5,false
90,15:34:43:946,target,pistol,0s,1,1,1,25,50,0.5,false
91,15:34:44:114,target,pistol,0s,1,1,1,25,50,0.5,false
92,15:34:44:280,target,pistol,0s,1,1,1,25,50,0.5,false
93,15:34:44:437,target,pistol,0s,1,1,1,25,50,0.5,false
94,15:34:44:809,target,pistol,0s,1,1,1,25,50,0.5,false
95,15:34:45:000,target,pistol,0s,1,1,1,25,50,0.5,false
96,15:34:45:155,target,pistol,0s,1,1,1,25,50,0.5,false
97,15:34:45:357,target,pistol,0s,1,1,1,25,50,0.5,false
98,15:34:45:516,target,pistol,0s,1,1,1,25,50,0.5,false
99,15:34:45:651,target,pistol,0s,1,1,1,25,50,0.5,false
100,15:34:45:947,target,pistol,0s,1,1,1,25,50,0.5,false
101,15:34:46:165,target,pistol,0s,1,1,1,25,50,0.5,false
102,15:34:46:363,target,pistol,0s,1,1,1,25,50,0.5,false
103,15:34:46:691,target,pistol,0.178s,2,1,0.5,25,100,0.25,false
104,15:34:46:973,target,pistol,0s,1,1,1,25,50,0.5,false
105,15:34:47:172,target,pistol,0.001s,1,1,1,25,50,0.5,false
106,15:34:47:350,target,pistol,0s,1,1,1,25,50,0.5,false
107,15:34:47:535,target,pistol,0s,1,1,1,25,50,0.5,false
108,15:34:47:713,target,pistol,0s,1,1,1,25,50,0.5,false
109,15:34:47:888,target,pistol,0s,1,1,1,25,50,0.5,false
110,15:34:48:046,target,pistol,0s,1,1,1,25,50,0.5,false
111,15:34:48:211,target,pistol,0s,1,1,1,25,50,0.5,false
112,15:34:48:424,target,pistol,0s,1,1,1,25,50,0.5,false
113,15:34:48:582,target,pistol,0s,1,1,1,25,50,0.5,false
114,15:34:48:757,target,pistol,0s,1,1,1,25,50,0.5,false
115,15:34:48:992,target,pistol,0s,1,1,1,25,50,0.5,false
116,15:34:49:170,target,pistol,0s,1,1,1,25,50,0.5,false
117,15:34:49:710,target,pistol,0.288s,2,1,0.5,25,100,0.25,false
118,15:34:49:894,target,pistol,0s,1,1,1,25,50,0.5,false
119,15:34:50:065,target,pistol,0s,1,1,1,25,50,0.5,false
120,15:34:50:224,target,pistol,0.001s,1,1,1,25,50,0.5,false
121,15:34:50:374,target,pistol,0s,1,1,1,25,50,0.5,false
122,15:34:50:573,target,pistol,0s,1,1,1,25,50,0.5,false
123,15:34:50:748,target,pistol,0s,1,1,1,25,50,0.5,false
124,15:34:50:916,target,pistol,0s,1,1,1,25,50,0.5,false
125,15:34:51:091,target,pistol,0s,1,1,1,25,50,0.5,false
126,15:34:51:256,target,pistol,0s,1,1,1,25,50,0.5,false
127,15:34:51:441,target,pistol,0s,1,1,1,25,50,0.5,false
128,15:34:51:787,target,pistol,0.171s,2,1,0.5,25,100,0.25,false
129,15:34:51:996,target,pistol,0s,1,1,1,25,50,0.5,false
130,15:34:52:185,target,pistol,0s,1,1,1,25,50,0.5,false
131,15:34:52:450,target,pistol,0s,1,1,1,25,50,0.5,false
132,15:34:52:629,target,pistol,0s,1,1,1,25,50,0.5,false
133,15:34:52:822,target,pistol,0.001s,1,1,1,25,50,0.5,false
134,15:34:52:983,target,pistol,0s,1,1,1,25,50,0.5,false
135,15:34:53:145,target,pistol,0s,1,1,1,25,50,0.5,false
136,15:34:53:323,target,pistol,0s,1,1,1,25,50,0.5,false
137,15:34:53:487,target,pistol,0s,1,1,1,25,50,0.5,false
138,15:34:53:652,target,pistol,0s,1,1,1,25,50,0.5,false
139,15:34:53:838,target,pistol,0s,1,1,1,25,50,0.5,false
140,15:34:54:006,target,pistol,0s,1,1,1,25,50,0.5,false
141,15:34:54:180,target,pistol,0s,1,1,1,25,50,0.5,false
142,15:34:54:450,target,pistol,0s,1,1,1,25,50,0.5,false
143,15:34:54:631,target,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,153,143,3575.0,7650.0,

Kills:,143
Deaths:,0
Fight Time:,1.994
Avg TTK:,0.014
Damage Done:,3575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,143.0
Scenario:,Jumbo Tile Frenzy
Hash:,ae623b127466908095294aec8915487d
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,2.02
Vert Sens:,2.02
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
