Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:41:41:051,target,pistol,0s,1,1,1,25,50,0.5,false
2,01:41:41:262,target,pistol,0s,1,1,1,25,50,0.5,false
3,01:41:41:450,target,pistol,0s,1,1,1,25,50,0.5,false
4,01:41:41:661,target,pistol,0s,1,1,1,25,50,0.5,false
5,01:41:41:863,target,pistol,0s,1,1,1,25,50,0.5,false
6,01:41:42:029,target,pistol,0s,1,1,1,25,50,0.5,false
7,01:41:42:222,target,pistol,0.001s,1,1,1,25,50,0.5,false
8,01:41:42:415,target,pistol,0s,1,1,1,25,50,0.5,false
9,01:41:42:576,target,pistol,0s,1,1,1,25,50,0.5,false
10,01:41:42:760,target,pistol,0s,1,1,1,25,50,0.5,false
11,01:41:43:123,target,pistol,0.179s,2,1,0.5,25,100,0.25,false
12,01:41:43:437,target,pistol,0s,1,1,1,25,50,0.5,false
13,01:41:43:657,target,pistol,0s,1,1,1,25,50,0.5,false
14,01:41:43:841,target,pistol,0s,1,1,1,25,50,0.5,false
15,01:41:44:029,target,pistol,0s,1,1,1,25,50,0.5,false
16,01:41:44:195,target,pistol,0s,1,1,1,25,50,0.5,false
17,01:41:44:388,target,pistol,0s,1,1,1,25,50,0.5,false
18,01:41:44:782,target,pistol,0.197s,2,1,0.5,25,100,0.25,false
19,01:41:45:163,target,pistol,0s,1,1,1,25,50,0.5,false
20,01:41:45:335,target,pistol,0.001s,1,1,1,25,50,0.5,false
21,01:41:45:505,target,pistol,0s,1,1,1,25,50,0.5,false
22,01:41:45:698,target,pistol,0s,1,1,1,25,50,0.5,false
23,01:41:45:864,target,pistol,0s,1,1,1,25,50,0.5,false
24,01:41:46:134,target,pistol,0s,1,1,1,25,50,0.5,false
25,01:41:46:362,target,pistol,0s,1,1,1,25,50,0.5,false
26,01:41:46:887,target,pistol,0s,1,1,1,25,50,0.5,false
27,01:41:47:071,target,pistol,0s,1,1,1,25,50,0.5,false
28,01:41:47:273,target,pistol,0s,1,1,1,25,50,0.5,false
29,01:41:47:462,target,pistol,0s,1,1,1,25,50,0.5,false
30,01:41:47:830,target,pistol,0.198s,2,1,0.5,25,100,0.25,false
31,01:41:48:033,target,pistol,0s,1,1,1,25,50,0.5,false
32,01:41:48:236,target,pistol,0s,1,1,1,25,50,0.5,false
33,01:41:48:406,target,pistol,0.001s,1,1,1,25,50,0.5,false
34,01:41:48:589,target,pistol,0s,1,1,1,25,50,0.5,false
35,01:41:48:787,target,pistol,0s,1,1,1,25,50,0.5,false
36,01:41:48:979,target,pistol,0s,1,1,1,25,50,0.5,false
37,01:41:49:204,target,pistol,0.001s,1,1,1,25,50,0.5,false
38,01:41:49:383,target,pistol,0s,1,1,1,25,50,0.5,false
39,01:41:49:612,target,pistol,0s,1,1,1,25,50,0.5,false
40,01:41:50:217,target,pistol,0.305s,2,1,0.5,25,100,0.25,false
41,01:41:50:415,target,pistol,0s,1,1,1,25,50,0.5,false
42,01:41:50:585,target,pistol,0s,1,1,1,25,50,0.5,false
43,01:41:50:792,target,pistol,0.001s,1,1,1,25,50,0.5,false
44,01:41:50:976,target,pistol,0.001s,1,1,1,25,50,0.5,false
45,01:41:51:160,target,pistol,0s,1,1,1,25,50,0.5,false
46,01:41:51:343,target,pistol,0s,1,1,1,25,50,0.5,false
47,01:41:51:509,target,pistol,0s,1,1,1,25,50,0.5,false
48,01:41:51:684,target,pistol,0s,1,1,1,25,50,0.5,false
49,01:41:51:845,target,pistol,0s,1,1,1,25,50,0.5,false
50,01:41:52:029,target,pistol,0s,1,1,1,25,50,0.5,false
51,01:41:52:195,target,pistol,0s,1,1,1,25,50,0.5,false
52,01:41:52:388,target,pistol,0s,1,1,1,25,50,0.5,false
53,01:41:52:581,target,pistol,0s,1,1,1,25,50,0.5,false
54,01:41:52:729,target,pistol,0s,1,1,1,25,50,0.5,false
55,01:41:52:918,target,pistol,0.001s,1,1,1,25,50,0.5,false
56,01:41:53:092,target,pistol,0s,1,1,1,25,50,0.5,false
57,01:41:53:277,target,pistol,0.001s,1,1,1,25,50,0.5,false
58,01:41:53:438,target,pistol,0s,1,1,1,25,50,0.5,false
59,01:41:53:622,target,pistol,0.001s,1,1,1,25,50,0.5,false
60,01:41:53:971,target,pistol,0.175s,2,1,0.5,25,100,0.25,false
61,01:41:54:168,target,pistol,0s,1,1,1,25,50,0.5,false
62,01:41:54:366,target,pistol,0s,1,1,1,25,50,0.5,false
63,01:41:54:559,target,pistol,0s,1,1,1,25,50,0.5,false
64,01:41:54:734,target,pistol,0s,1,1,1,25,50,0.5,false
65,01:41:54:922,target,pistol,0s,1,1,1,25,50,0.5,false
66,01:41:55:115,target,pistol,0s,1,1,1,25,50,0.5,false
