Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:16:37:755,target,Track Master 1000,0s,1,1,1,1,1,1,false
2,15:16:37:852,target,Track Master 1000,0s,1,1,1,1,1,1,false
3,15:16:37:903,target,Track Master 1000,0s,1,1,1,1,1,1,false
4,15:16:38:069,target,Track Master 1000,0.074s,5,1,0.2,1,5,0.2,false
5,15:16:38:156,target,Track Master 1000,0s,1,1,1,1,1,1,false
6,15:16:38:208,target,Track Master 1000,0s,1,1,1,1,1,1,false
7,15:16:38:384,target,Track Master 1000,0s,1,1,1,1,1,1,false
8,15:16:38:539,target,Track Master 1000,0s,1,1,1,1,1,1,false
9,15:16:38:728,target,Track Master 1000,0.155s,3,1,0.333,1,3,0.333,false
10,15:16:38:805,target,Track Master 1000,0s,1,1,1,1,1,1,false
11,15:16:38:951,target,Track Master 1000,0s,1,1,1,1,1,1,false
12,15:16:39:486,target,Track Master 1000,0.395s,3,1,0.333,1,3,0.333,false
13,15:16:39:565,target,Track Master 1000,0s,1,1,1,1,1,1,false
14,15:16:39:604,target,Track Master 1000,0s,1,1,1,1,1,1,false
15,15:16:39:933,target,Track Master 1000,0.109s,12,1,0.083,1,12,0.083,false
16,15:16:39:972,target,Track Master 1000,0s,1,1,1,1,1,1,false
17,15:16:40:304,target,Track Master 1000,0.198s,21,1,0.048,1,21,0.048,false
18,15:16:40:325,target,Track Master 1000,0s,1,1,1,1,1,1,false
19,15:16:40:422,target,Track Master 1000,0s,1,1,1,1,1,1,false
20,15:16:40:684,target,Track Master 1000,0.058s,7,1,0.143,1,7,0.143,false
21,15:16:40:733,target,Track Master 1000,0s,1,1,1,1,1,1,false
22,15:16:40:934,target,Track Master 1000,0.1s,11,1,0.091,1,11,0.091,false
23,15:16:41:092,target,Track Master 1000,0s,1,1,1,1,1,1,false
24,15:16:41:263,target,Track Master 1000,0.018s,3,1,0.333,1,3,0.333,false
25,15:16:41:361,target,Track Master 1000,0s,1,1,1,1,1,1,false
26,15:16:41:583,target,Track Master 1000,0.1s,11,1,0.091,1,11,0.091,false
27,15:16:41:712,target,Track Master 1000,0s,1,1,1,1,1,1,false
28,15:16:41:895,target,Track Master 1000,0s,1,1,1,1,1,1,false
29,15:16:41:916,target,Track Master 1000,0s,1,1,1,1,1,1,false
30,15:16:41:971,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
31,15:16:42:083,target,Track Master 1000,0.061s,7,1,0.143,1,7,0.143,false
32,15:16:42:236,target,Track Master 1000,0s,1,1,1,1,1,1,false
33,15:16:42:285,target,Track Master 1000,0s,1,1,1,1,1,1,false
34,15:16:42:567,target,Track Master 1000,0.123s,13,1,0.077,1,13,0.077,false
35,15:16:42:663,target,Track Master 1000,0s,1,1,1,1,1,1,false
36,15:16:42:895,target,Track Master 1000,0.018s,3,1,0.333,1,3,0.333,false
37,15:16:42:941,target,Track Master 1000,0s,1,1,1,1,1,1,false
38,15:16:43:205,target,Track Master 1000,0.057s,7,1,0.143,1,7,0.143,false
39,15:16:43:251,target,Track Master 1000,0s,1,1,1,1,1,1,false
40,15:16:43:435,target,Track Master 1000,0.067s,8,1,0.125,1,8,0.125,false
41,15:16:43:557,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
42,15:16:43:572,target,Track Master 1000,0s,1,1,1,1,1,1,false
43,15:16:43:824,target,Track Master 1000,0.049s,6,1,0.167,1,6,0.167,false
44,15:16:43:871,target,Track Master 1000,0s,1,1,1,1,1,1,false
45,15:16:44:247,target,Track Master 1000,0.199s,21,1,0.048,1,21,0.048,false
46,15:16:44:314,target,Track Master 1000,0s,1,1,1,1,1,1,false
47,15:16:44:325,target,Track Master 1000,0s,1,1,1,1,1,1,false
48,15:16:44:572,target,Track Master 1000,0.068s,8,1,0.125,1,8,0.125,false
49,15:16:44:605,target,Track Master 1000,0s,1,1,1,1,1,1,false
50,15:16:44:653,target,Track Master 1000,0s,1,1,1,1,1,1,false
51,15:16:44:937,target,Track Master 1000,0.118s,13,1,0.077,1,13,0.077,false
52,15:16:45:035,target,Track Master 1000,0s,1,1,1,1,1,1,false
53,15:16:45:330,target,Track Master 1000,0.039s,5,1,0.2,1,5,0.2,false
54,15:16:45:446,target,Track Master 1000,0.03s,4,1,0.25,1,4,0.25,false
55,15:16:45:577,target,Track Master 1000,0s,1,1,1,1,1,1,false
56,15:16:45:611,target,Track Master 1000,0s,1,1,1,1,1,1,false
57,15:16:45:901,target,Track Master 1000,0.039s,5,1,0.2,1,5,0.2,false
58,15:16:46:136,target,Track Master 1000,0.029s,4,1,0.25,1,4,0.25,false
59,15:16:46:185,target,Track Master 1000,0s,1,1,1,1,1,1,false
60,15:16:46:384,target,Track Master 1000,0.082s,9,1,0.111,1,9,0.111,false
61,15:16:46:433,target,Track Master 1000,0s,1,1,1,1,1,1,false
62,15:16:46:527,target,Track Master 1000,0s,1,1,1,1,1,1,false
63,15:16:46:527,target,Track Master 1000,0s,1,1,1,1,1,1,false
64,15:16:46:647,target,Track Master 1000,0.035s,5,1,0.2,1,5,0.2,false
65,15:16:46:783,target,Track Master 1000,0s,1,1,1,1,1,1,false
66,15:16:46:823,target,Track Master 1000,0s,1,1,1,1,1,1,false
67,15:16:47:015,target,Track Master 1000,0.02s,3,1,0.333,1,3,0.333,false
68,15:16:47:046,target,Track Master 1000,0s,1,1,1,1,1,1,false
69,15:16:47:100,target,Track Master 1000,0s,1,1,1,1,1,1,false
70,15:16:47:515,target,Track Master 1000,0.2s,21,1,0.048,1,21,0.048,false
71,15:16:47:550,target,Track Master 1000,0s,1,1,1,1,1,1,false
72,15:16:47:635,target,Track Master 1000,0.02s,3,1,0.333,1,3,0.333,false
73,15:16:47:734,target,Track Master 1000,0s,1,1,1,1,1,1,false
74,15:16:47:825,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
75,15:16:48:275,target,Track Master 1000,0.233s,24,1,0.042,1,24,0.042,false
76,15:16:48:314,target,Track Master 1000,0s,1,1,1,1,1,1,false
77,15:16:48:555,target,Track Master 1000,0.062s,7,1,0.143,1,7,0.143,false
78,15:16:48:636,target,Track Master 1000,0s,1,1,1,1,1,1,false
79,15:16:48:797,target,Track Master 1000,0.037s,5,1,0.2,1,5,0.2,false
80,15:16:48:823,target,Track Master 1000,0s,1,1,1,1,1,1,false
81,15:16:48:931,target,Track Master 1000,0s,1,1,1,1,1,1,false
82,15:16:49:196,target,Track Master 1000,0.11s,9,1,0.111,1,9,0.111,false
83,15:16:49:294,target,Track Master 1000,0s,1,1,1,1,1,1,false
84,15:16:49:465,target,Track Master 1000,0.029s,4,1,0.25,1,4,0.25,false
85,15:16:49:583,target,Track Master 1000,0s,1,1,1,1,1,1,false
86,15:16:49:646,target,Track Master 1000,0.024s,3,1,0.333,1,3,0.333,false
87,15:16:49:815,target,Track Master 1000,0s,1,1,1,1,1,1,false
88,15:16:49:864,target,Track Master 1000,0s,1,1,1,1,1,1,false
89,15:16:50:145,target,Track Master 1000,0.184s,19,1,0.053,1,19,0.053,false
90,15:16:50:302,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
91,15:16:50:364,target,Track Master 1000,0.01s,2,1,0.5,1,2,0.5,false
92,15:16:50:566,target,Track Master 1000,0s,1,1,1,1,1,1,false
93,15:16:50:572,target,Track Master 1000,0s,1,1,1,1,1,1,false
94,15:16:50:836,target,Track Master 1000,0.088s,10,1,0.1,1,10,0.1,false
95,15:16:50:915,target,Track Master 1000,0s,1,1,1,1,1,1,false
96,15:16:51:215,target,Track Master 1000,0.159s,17,1,0.059,1,17,0.059,false
97,15:16:51:283,target,Track Master 1000,0s,1,1,1,1,1,1,false
98,15:16:51:334,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
99,15:16:51:552,target,Track Master 1000,0.109s,12,1,0.083,1,12,0.083,false
100,15:16:51:700,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
101,15:16:51:763,target,Track Master 1000,0.028s,4,1,0.25,1,4,0.25,false
102,15:16:51:836,target,Track Master 1000,0s,1,1,1,1,1,1,false
103,15:16:51:924,target,Track Master 1000,0s,1,1,1,1,1,1,false
104,15:16:51:953,target,Track Master 1000,0s,1,1,1,1,1,1,false
105,15:16:51:983,target,Track Master 1000,0s,1,1,1,1,1,1,false
106,15:16:52:213,target,Track Master 1000,0.141s,15,1,0.067,1,15,0.067,false
107,15:16:52:325,target,Track Master 1000,0s,1,1,1,1,1,1,false
108,15:16:52:382,target,Track Master 1000,0s,1,1,1,1,1,1,false
109,15:16:52:652,target,Track Master 1000,0.122s,13,1,0.077,1,13,0.077,false
110,15:16:52:754,target,Track Master 1000,0s,1,1,1,1,1,1,false
111,15:16:52:765,target,Track Master 1000,0s,1,1,1,1,1,1,false
112,15:16:53:051,target,Track Master 1000,0.03s,4,1,0.25,1,4,0.25,false
113,15:16:53:226,target,Track Master 1000,0.07s,8,1,0.125,1,8,0.125,false
114,15:16:53:294,target,Track Master 1000,0s,1,1,1,1,1,1,false
115,15:16:53:352,target,Track Master 1000,0s,1,1,1,1,1,1,false
116,15:16:53:373,target,Track Master 1000,0s,1,1,1,1,1,1,false
117,15:16:53:782,target,Track Master 1000,0.203s,21,1,0.048,1,21,0.048,false
118,15:16:53:832,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
119,15:16:54:084,target,Track Master 1000,0.068s,8,1,0.125,1,8,0.125,false
120,15:16:54:163,target,Track Master 1000,0s,1,1,1,1,1,1,false
121,15:16:54:355,target,Track Master 1000,0.01s,2,1,0.5,1,2,0.5,false
122,15:16:54:431,target,Track Master 1000,0s,1,1,1,1,1,1,false
123,15:16:54:492,target,Track Master 1000,0.01s,2,1,0.5,1,2,0.5,false
124,15:16:54:692,target,Track Master 1000,0s,1,1,1,1,1,1,false
125,15:16:54:842,target,Track Master 1000,0s,1,1,1,1,1,1,false
126,15:16:54:947,target,Track Master 1000,0s,1,1,1,1,1,1,false
127,15:16:55:176,target,Track Master 1000,0.053s,6,1,0.167,1,6,0.167,false
128,15:16:55:257,target,Track Master 1000,0s,1,1,1,1,1,1,false
129,15:16:55:575,target,Track Master 1000,0.141s,15,1,0.067,1,15,0.067,false
130,15:16:55:648,target,Track Master 1000,0s,1,1,1,1,1,1,false
131,15:16:56:015,target,Track Master 1000,0.201s,21,1,0.048,1,21,0.048,false
132,15:16:56:103,target,Track Master 1000,0s,1,1,1,1,1,1,false
133,15:16:56:315,target,Track Master 1000,0.02s,3,1,0.333,1,3,0.333,false
134,15:16:56:384,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
135,15:16:56:653,target,Track Master 1000,0.061s,7,1,0.143,1,7,0.143,false
136,15:16:56:700,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
137,15:16:56:934,target,Track Master 1000,0.049s,6,1,0.167,1,6,0.167,false
138,15:16:57:003,target,Track Master 1000,0s,1,1,1,1,1,1,false
139,15:16:57:255,target,Track Master 1000,0.073s,8,1,0.125,1,8,0.125,false
140,15:16:57:334,target,Track Master 1000,0s,1,1,1,1,1,1,false
141,15:16:57:396,target,Track Master 1000,0.019s,3,1,0.333,1,3,0.333,false
142,15:16:57:596,target,Track Master 1000,0s,1,1,1,1,1,1,false
143,15:16:57:612,target,Track Master 1000,0s,1,1,1,1,1,1,false
144,15:16:57:815,target,Track Master 1000,0.114s,12,1,0.083,1,12,0.083,false
145,15:16:57:844,target,Track Master 1000,0s,1,1,1,1,1,1,false
146,15:16:57:982,target,Track Master 1000,0s,1,1,1,1,1,1,false
147,15:16:58:222,target,Track Master 1000,0.195s,21,1,0.048,1,21,0.048,false
148,15:16:58:332,target,Track Master 1000,0s,1,1,1,1,1,1,false
149,15:16:58:442,target,Track Master 1000,0s,1,1,1,1,1,1,false
150,15:16:58:516,target,Track Master 1000,0s,1,1,1,1,1,1,false
151,15:16:58:699,target,Track Master 1000,0s,1,1,1,1,1,1,false
152,15:16:58:944,target,Track Master 1000,0.1s,11,1,0.091,1,11,0.091,false
153,15:16:59:053,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
154,15:16:59:255,target,Track Master 1000,0s,1,1,1,1,1,1,false
155,15:16:59:310,target,Track Master 1000,0s,1,1,1,1,1,1,false
156,15:16:59:576,target,Track Master 1000,0.099s,11,1,0.091,1,11,0.091,false
157,15:16:59:632,target,Track Master 1000,0s,1,1,1,1,1,1,false
158,15:16:59:663,target,Track Master 1000,0s,1,1,1,1,1,1,false
159,15:16:59:906,target,Track Master 1000,0.01s,2,1,0.5,1,2,0.5,false
160,15:16:59:932,target,Track Master 1000,0s,1,1,1,1,1,1,false
161,15:17:00:283,target,Track Master 1000,0.17s,18,1,0.056,1,18,0.056,false
162,15:17:00:317,target,Track Master 1000,0s,1,1,1,1,1,1,false
163,15:17:00:356,target,Track Master 1000,0s,1,1,1,1,1,1,false
164,15:17:00:565,target,Track Master 1000,0.07s,8,1,0.125,1,8,0.125,false
165,15:17:00:622,target,Track Master 1000,0s,1,1,1,1,1,1,false
166,15:17:00:686,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
167,15:17:00:856,target,Track Master 1000,0s,1,1,1,1,1,1,false
168,15:17:00:945,target,Track Master 1000,0s,1,1,1,1,1,1,false
169,15:17:01:154,target,Track Master 1000,0.069s,8,1,0.125,1,8,0.125,false
170,15:17:01:272,target,Track Master 1000,0s,1,1,1,1,1,1,false
171,15:17:01:644,target,Track Master 1000,0.17s,18,1,0.056,1,18,0.056,false
172,15:17:01:702,target,Track Master 1000,0s,1,1,1,1,1,1,false
173,15:17:01:825,target,Track Master 1000,0.074s,8,1,0.125,1,8,0.125,false
174,15:17:01:944,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
175,15:17:02:036,target,Track Master 1000,0s,1,1,1,1,1,1,false
176,15:17:02:297,target,Track Master 1000,0.009s,2,1,0.5,1,2,0.5,false
177,15:17:02:303,target,Track Master 1000,0s,1,1,1,1,1,1,false
178,15:17:02:444,target,Track Master 1000,0.01s,2,1,0.5,1,2,0.5,false
179,15:17:02:532,target,Track Master 1000,0s,1,1,1,1,1,1,false
180,15:17:02:572,target,Track Master 1000,0s,1,1,1,1,1,1,false
181,15:17:02:836,target,Track Master 1000,0.104s,11,1,0.091,1,11,0.091,false
182,15:17:02:906,target,Track Master 1000,0s,1,1,1,1,1,1,false
183,15:17:02:931,target,Track Master 1000,0s,1,1,1,1,1,1,false
184,15:17:03:235,target,Track Master 1000,0.08s,9,1,0.111,1,9,0.111,false
185,15:17:03:267,target,Track Master 1000,0s,1,1,1,1,1,1,false
186,15:17:03:574,target,Track Master 1000,0.16s,17,1,0.059,1,17,0.059,false
187,15:17:03:687,target,Track Master 1000,0s,1,1,1,1,1,1,false
188,15:17:03:792,target,Track Master 1000,0.031s,4,1,0.25,1,4,0.25,false
189,15:17:03:834,target,Track Master 1000,0s,1,1,1,1,1,1,false
190,15:17:03:874,target,Track Master 1000,0s,1,1,1,1,1,1,false
191,15:17:03:972,target,Track Master 1000,0s,1,1,1,1,1,1,false
192,15:17:04:057,target,Track Master 1000,0.024s,3,1,0.333,1,3,0.333,false
193,15:17:04:243,target,Track Master 1000,0s,1,1,1,1,1,1,false
194,15:17:04:255,target,Track Master 1000,0s,1,1,1,1,1,1,false
195,15:17:04:574,target,Track Master 1000,0.138s,15,1,0.067,1,15,0.067,false
196,15:17:04:651,target,Track Master 1000,0s,1,1,1,1,1,1,false
197,15:17:04:743,target,Track Master 1000,0.057s,7,1,0.143,1,7,0.143,false
198,15:17:04:774,target,Track Master 1000,0s,1,1,1,1,1,1,false
199,15:17:04:883,target,Track Master 1000,0s,1,1,1,1,1,1,false
200,15:17:04:963,target,Track Master 1000,0s,1,1,1,1,1,1,false
201,15:17:05:204,target,Track Master 1000,0.083s,9,1,0.111,1,9,0.111,false
202,15:17:05:303,target,Track Master 1000,0s,1,1,1,1,1,1,false
203,15:17:05:524,target,Track Master 1000,0.05s,6,1,0.167,1,6,0.167,false
204,15:17:05:609,target,Track Master 1000,0s,1,1,1,1,1,1,false
205,15:17:05:893,target,Track Master 1000,0.121s,13,1,0.077,1,13,0.077,false
206,15:17:05:984,target,Track Master 1000,0s,1,1,1,1,1,1,false
207,15:17:06:202,target,Track Master 1000,0.06s,7,1,0.143,1,7,0.143,false
208,15:17:06:302,target,Track Master 1000,0.001s,1,1,1,1,1,1,false
209,15:17:06:545,target,Track Master 1000,0.03s,4,1,0.25,1,4,0.25,false
210,15:17:06:596,target,Track Master 1000,0s,1,1,1,1,1,1,false
