Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:41:51:782,Pigeon,LG,1.561s,27,17,0.63,102,162,0.63,false
2,12:41:56:741,Pigeon,LG,3.867s,61,17,0.279,102,366,0.279,false
3,12:41:59:500,Pigeon,LG,2.201s,45,17,0.378,102,270,0.378,false
4,12:42:02:687,Pigeon,LG,1.701s,38,17,0.447,102,228,0.447,false
5,12:42:05:442,Pigeon,LG,1.883s,42,17,0.405,102,252,0.405,false
6,12:42:08:617,Pigeon,LG,1.517s,34,17,0.5,102,204,0.5,false
7,12:42:11:476,Pigeon,LG,0.733s,17,17,1,102,102,1,false
8,12:42:13:509,Pigeon,LG,1.243s,28,17,0.607,102,168,0.607,false
9,12:42:17:339,Pigeon,LG,2.112s,47,17,0.362,102,282,0.362,false
10,12:42:20:068,Pigeon,LG,1.792s,40,17,0.425,102,240,0.425,false
11,12:42:23:703,Pigeon,LG,3.401s,53,17,0.321,102,318,0.321,false
12,12:42:26:365,Pigeon,LG,1.655s,37,17,0.459,102,222,0.459,false
13,12:42:30:840,Pigeon,LG,2.158s,48,17,0.354,102,288,0.354,false
14,12:42:35:027,Pigeon,LG,2.25s,47,17,0.362,102,282,0.362,false
15,12:42:37:490,Pigeon,LG,1.792s,40,17,0.425,102,240,0.425,false
16,12:42:40:790,Pigeon,LG,2.788s,58,17,0.293,102,348,0.293,false
17,12:42:45:128,Pigeon,LG,3.542s,78,17,0.218,102,468,0.218,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,768,306,1836.0,4608.0,

Kills:,18
Deaths:,0
Fight Time:,37.512001
Avg TTK:,2.084
Damage Done:,1836.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1836.0
Scenario:,LG Pin Practice 360
Hash:,1bd8936343724d18465795b9d93c8ac1
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,240.0
Sens Scale:,Quake/Source
Horiz Sens:,2.252
Vert Sens:,2.252
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
