Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:30:30:195,target,BB Gun,0s,1,1,1,1,1,1,false
2,01:30:30:665,target,BB Gun,0s,1,1,1,1,1,1,false
3,01:30:31:114,target,BB Gun,0s,1,1,1,1,1,1,false
4,01:30:31:531,target,BB Gun,0s,1,1,1,1,1,1,false
5,01:30:31:930,target,BB Gun,0s,1,1,1,1,1,1,false
6,01:30:32:312,target,BB Gun,0s,1,1,1,1,1,1,false
7,01:30:32:634,target,BB Gun,0s,1,1,1,1,1,1,false
8,01:30:32:958,target,BB Gun,0s,1,1,1,1,1,1,false
9,01:30:33:298,target,BB Gun,0s,1,1,1,1,1,1,false
10,01:30:33:671,target,BB Gun,0s,1,1,1,1,1,1,false
11,01:30:34:079,target,BB Gun,0.001s,1,1,1,1,1,1,false
12,01:30:34:500,target,BB Gun,0s,1,1,1,1,1,1,false
13,01:30:34:836,target,BB Gun,0s,1,1,1,1,1,1,false
14,01:30:35:168,target,BB Gun,0s,1,1,1,1,1,1,false
15,01:30:35:505,target,BB Gun,0s,1,1,1,1,1,1,false
16,01:30:35:819,target,BB Gun,0s,1,1,1,1,1,1,false
17,01:30:36:123,target,BB Gun,0s,1,1,1,1,1,1,false
18,01:30:36:703,target,BB Gun,0.251s,2,1,0.5,1,2,0.5,false
19,01:30:37:048,target,BB Gun,0s,1,1,1,1,1,1,false
20,01:30:37:411,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,01:30:37:963,target,BB Gun,0.252s,2,1,0.5,1,2,0.5,false
22,01:30:38:304,target,BB Gun,0s,1,1,1,1,1,1,false
23,01:30:38:770,target,BB Gun,0.202s,2,1,0.5,1,2,0.5,false
24,01:30:39:057,target,BB Gun,0s,1,1,1,1,1,1,false
25,01:30:39:367,target,BB Gun,0s,1,1,1,1,1,1,false
26,01:30:39:986,target,BB Gun,0.284s,2,1,0.5,1,2,0.5,false
27,01:30:40:331,target,BB Gun,0s,1,1,1,1,1,1,false
28,01:30:41:102,target,BB Gun,0.448s,2,1,0.5,1,2,0.5,false
29,01:30:41:448,target,BB Gun,0s,1,1,1,1,1,1,false
30,01:30:41:784,target,BB Gun,0s,1,1,1,1,1,1,false
31,01:30:42:336,target,BB Gun,0.243s,2,1,0.5,1,2,0.5,false
32,01:30:43:080,target,BB Gun,0.34s,2,1,0.5,1,2,0.5,false
33,01:30:43:443,target,BB Gun,0s,1,1,1,1,1,1,false
