Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:20:09:525,TileFrenzyStrafing Cube 200pct,pistol strong,0s,1,1,1,100,200,0.5,false
2,14:20:10:205,TileFrenzyStrafing Cube 200pct,pistol strong,0s,1,1,1,100,200,0.5,false
3,14:20:10:629,TileFrenzyStrafing Cube 200pct,pistol strong,0s,1,1,1,100,200,0.5,false
4,14:20:11:065,TileFrenzyStrafing Cube 400pct,pistol strong,0s,1,1,1,100,200,0.5,false
5,14:20:11:585,TileFrenzyStrafing Cube 500pct,pistol strong,0.001s,1,1,1,100,200,0.5,false
6,14:20:12:058,TileFrenzyStrafing Cube 400pct,pistol strong,0s,1,1,1,100,200,0.5,false
7,14:20:12:442,TileFrenzyStrafing Cube 300pct,pistol strong,0s,1,1,1,100,200,0.5,false
8,14:20:13:532,TileFrenzyStrafing Cube,pistol strong,0.563s,2,1,0.5,100,400,0.25,false
9,14:20:13:869,TileFrenzyStrafing Cube 200pct,pistol strong,0s,1,1,1,100,200,0.5,false
10,14:20:14:261,TileFrenzyStrafing Cube 200pct,pistol strong,0s,1,1,1,100,200,0.5,false
11,14:20:15:071,TileFrenzyStrafing Cube 300pct,pistol strong,0.409s,2,1,0.5,100,400,0.25,false
12,14:20:15:577,TileFrenzyStrafing Cube 500pct,pistol strong,0s,1,1,1,100,200,0.5,false
13,14:20:16:035,TileFrenzyStrafing Cube,pistol strong,0s,1,1,1,100,200,0.5,false
14,14:20:16:669,TileFrenzyStrafing Cube 200pct,pistol strong,0s,1,1,1,100,200,0.5,false
15,14:20:18:190,TileFrenzyStrafing Cube 400pct,pistol strong,1.188s,4,1,0.25,100,800,0.125,false
16,14:20:18:758,TileFrenzyStrafing Cube 500pct,pistol strong,0s,1,1,1,100,200,0.5,false
17,14:20:19:251,TileFrenzyStrafing Cube 500pct,pistol strong,0s,1,1,1,100,200,0.5,false
18,14:20:19:684,TileFrenzyStrafing Cube 300pct,pistol strong,0.001s,1,1,1,100,200,0.5,false
19,14:20:20:329,TileFrenzyStrafing Cube 300pct,pistol strong,0s,1,1,1,100,200,0.5,false
20,14:20:20:903,TileFrenzyStrafing Cube,pistol strong,0s,1,1,1,100,200,0.5,false
21,14:20:22:307,TileFrenzyStrafing Cube,pistol strong,0.566s,2,1,0.5,100,400,0.25,false
22,14:20:23:438,TileFrenzyStrafing Cube 400pct,pistol strong,0.608s,2,1,0.5,100,400,0.25,false
23,14:20:24:432,TileFrenzyStrafing Cube,pistol strong,0.288s,2,1,0.5,100,400,0.25,false
24,14:20:24:966,TileFrenzyStrafing Cube 300pct,pistol strong,0s,1,1,1,100,200,0.5,false
25,14:20:26:026,TileFrenzyStrafing Cube 500pct,pistol strong,0.524s,2,1,0.5,100,400,0.25,false
26,14:20:26:670,TileFrenzyStrafing Cube 400pct,pistol strong,0s,1,1,1,100,200,0.5,false
27,14:20:28:398,TileFrenzyStrafing Cube 400pct,pistol strong,1.103s,3,1,0.333,100,600,0.167,false
28,14:20:28:848,TileFrenzyStrafing Cube 500pct,pistol strong,0.001s,1,1,1,100,200,0.5,false
