Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:32:36:487,Pigeon4,pistol,2.067s,3,1,0.333,100,600,0.167,false
2,19:32:50:290,Pigeon2,pistol,10.189s,10,1,0.1,100,2000,0.05,false
3,19:33:06:535,Pigeon3,pistol,14.449s,23,1,0.043,100,4600,0.022,false
4,19:33:10:137,Pigeon3,pistol,3.058s,4,1,0.25,100,800,0.125,false
5,19:33:16:141,Pigeon5,pistol,4.621s,7,1,0.143,100,1400,0.071,false
6,19:33:23:381,Pigeon3,pistol,5.401s,6,1,0.167,100,1200,0.083,false
7,19:33:29:540,Pigeon3,pistol,4.257s,5,1,0.2,100,1000,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,58,7,700.0,11600.0,
LG,0,0,0.0,0.0,

Kills:,7
Deaths:,0
Fight Time:,44.042
Avg TTK:,6.292
Damage Done:,700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,92.93103
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,2.02
Vert Sens:,2.02
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
