Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:01:56:729,test360,pistol,0s,1,1,1,1000,2500,0.4,false
2,13:01:58:498,test360,pistol,0s,1,1,1,1000,2500,0.4,false
3,13:02:00:312,test360,pistol,1.221s,3,1,0.333,1000,7500,0.133,false
4,13:02:01:527,test360,pistol,0.355s,2,1,0.5,1000,5000,0.2,false
5,13:02:02:458,test360,pistol,0s,1,1,1,1000,2500,0.4,false
6,13:02:03:280,test360,pistol,0s,1,1,1,1000,2500,0.4,false
7,13:02:03:976,test360,pistol,0s,1,1,1,1000,2500,0.4,false
8,13:02:05:714,test360,pistol,0s,1,1,1,1000,2500,0.4,false
9,13:02:07:331,test360,pistol,0.641s,2,1,0.5,1000,5000,0.2,false
10,13:02:08:165,test360,pistol,0s,1,1,1,1000,2500,0.4,false
11,13:02:09:307,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
12,13:02:09:987,test360,pistol,0s,1,1,1,1000,2500,0.4,false
13,13:02:10:957,test360,pistol,0.399s,2,1,0.5,1000,5000,0.2,false
14,13:02:12:452,test360,pistol,0.407s,2,1,0.5,1000,5000,0.2,false
15,13:02:13:754,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
16,13:02:17:491,test360,pistol,2.502s,4,1,0.25,1000,10000,0.1,false
17,13:02:21:281,test360,pistol,2.073s,3,1,0.333,1000,7500,0.133,false
18,13:02:21:943,test360,pistol,0s,1,1,1,1000,2500,0.4,false
19,13:02:22:571,test360,pistol,0s,1,1,1,1000,2500,0.4,false
20,13:02:24:194,test360,pistol,0.85s,2,1,0.5,1000,5000,0.2,false
21,13:02:24:972,test360,pistol,0s,1,1,1,1000,2500,0.4,false
22,13:02:29:012,test360,pistol,3.384s,5,1,0.2,1000,12500,0.08,false
23,13:02:30:393,test360,pistol,0s,1,1,1,1000,2500,0.4,false
24,13:02:31:250,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
25,13:02:34:028,test360,pistol,0.977s,2,1,0.5,1000,5000,0.2,false
26,13:02:35:693,test360,pistol,0.604s,2,1,0.5,1000,5000,0.2,false
27,13:02:38:607,test360,pistol,0.955s,2,1,0.5,1000,5000,0.2,false
28,13:02:43:987,test360,pistol,4.158s,4,1,0.25,1000,10000,0.1,false
29,13:02:51:037,test360,pistol,6.316s,6,1,0.167,1000,15000,0.067,false
30,13:02:53:988,test360,pistol,2.015s,3,1,0.333,1000,7500,0.133,false
31,13:02:55:405,test360,pistol,0s,1,1,1,1000,2500,0.4,false
32,13:02:59:989,test360,pistol,3.139s,3,1,0.333,1000,7500,0.133,false
33,13:03:01:856,test360,pistol,1.319s,2,1,0.5,1000,5000,0.2,false
34,13:03:04:328,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
35,13:03:05:127,test360,pistol,0s,1,1,1,1000,2500,0.4,false
36,13:03:07:418,test360,pistol,1.291s,2,1,0.5,1000,5000,0.2,false
37,13:03:08:668,test360,pistol,0s,1,1,1,1000,2500,0.4,false
38,13:03:09:553,test360,pistol,0s,1,1,1,1000,2500,0.4,false
39,13:03:12:010,test360,pistol,1.553s,3,1,0.333,1000,7500,0.133,false
40,13:03:13:330,test360,pistol,0s,1,1,1,1000,2500,0.4,false
41,13:03:17:235,test360,pistol,2.724s,3,1,0.333,1000,7500,0.133,false
42,13:03:18:131,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
43,13:03:19:206,test360,pistol,0s,1,1,1,1000,2500,0.4,false
44,13:03:21:104,test360,pistol,0.794s,2,1,0.5,1000,5000,0.2,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,82,44,44000.0,205000.0,

Kills:,44
Deaths:,0
Fight Time:,37.681999
Avg TTK:,0.856
Damage Done:,44000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,69640.359375
Score:,201640.359375
Scenario:,Pasu Dodge Easy
Hash:,44c7669019c230e7337c2b3835e942dc
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.92
Vert Sens:,1.92
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
