Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:35:10:894,Regenerating Pokeball,Poke-Drill,1.122s,22,13,0.591,2.6,4.4,0.591,false
2,20:35:11:663,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
3,20:35:12:885,Regenerating Pokeball,Poke-Drill,0.617s,14,14,1,2.8,2.8,1,false
4,20:35:13:588,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
5,20:35:14:599,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
6,20:35:15:579,Regenerating Pokeball,Poke-Drill,0.067s,8,8,1,1.6,1.6,1,false
7,20:35:16:172,Regenerating Pokeball,Poke-Drill,0.046s,6,6,1,1.2,1.2,1,false
8,20:35:17:222,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
9,20:35:18:342,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
10,20:35:19:250,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
11,20:35:20:894,Regenerating Pokeball,Poke-Drill,0.571s,20,8,0.4,1.6,4,0.4,false
12,20:35:21:837,Regenerating Pokeball,Poke-Drill,0.097s,11,11,1,2.2,2.2,1,false
13,20:35:24:006,Regenerating Pokeball,Poke-Drill,1.719s,31,24,0.774,4.8,6.2,0.774,false
14,20:35:24:848,Regenerating Pokeball,Poke-Drill,0.046s,6,6,1,1.2,1.2,1,false
15,20:35:25:684,Regenerating Pokeball,Poke-Drill,0.066s,8,8,1,1.6,1.6,1,false
16,20:35:26:592,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
17,20:35:28:115,Regenerating Pokeball,Poke-Drill,0.346s,22,6,0.273,1.2,4.4,0.273,false
18,20:35:30:265,Regenerating Pokeball,Poke-Drill,2.039s,8,6,0.75,1.2,1.6,0.75,false
19,20:35:31:031,Regenerating Pokeball,Poke-Drill,0.046s,6,6,1,1.2,1.2,1,false
20,20:35:31:801,Regenerating Pokeball,Poke-Drill,0.066s,8,8,1,1.6,1.6,1,false
21,20:35:32:711,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
22,20:35:33:445,Regenerating Pokeball,Poke-Drill,0.046s,6,6,1,1.2,1.2,1,false
23,20:35:34:215,Regenerating Pokeball,Poke-Drill,0.067s,8,8,1,1.6,1.6,1,false
24,20:35:35:018,Regenerating Pokeball,Poke-Drill,0.056s,7,7,1,1.4,1.4,1,false
