Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:39:03:882,Regenerating Pokeball,Poke-Drill,0.046s,6,6,1,1.2,1.2,1,false
2,18:39:04:340,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
3,18:39:04:688,Regenerating Pokeball,Poke-Drill,0.089s,10,10,1,2,2,1,false
4,18:39:05:001,Regenerating Pokeball,Poke-Drill,0.046s,6,6,1,1.2,1.2,1,false
5,18:39:05:191,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
6,18:39:05:807,Regenerating Pokeball,Poke-Drill,0.558s,14,8,0.571,1.6,2.8,0.571,false
7,18:39:06:001,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
8,18:39:06:406,Regenerating Pokeball,Poke-Drill,0.379s,11,6,0.545,1.2,2.2,0.545,false
9,18:39:06:787,Regenerating Pokeball,Poke-Drill,0.344s,10,9,0.9,1.8,2,0.9,false
10,18:39:07:520,Regenerating Pokeball,Poke-Drill,0.465s,18,10,0.556,2,3.6,0.556,false
11,18:39:07:697,Regenerating Pokeball,Poke-Drill,0.13s,14,6,0.429,1.2,2.8,0.429,false
12,18:39:08:359,Regenerating Pokeball,Poke-Drill,0.433s,15,6,0.4,1.2,3,0.4,false
13,18:39:08:606,Regenerating Pokeball,Poke-Drill,0.07s,8,8,1,1.6,1.6,1,false
14,18:39:08:794,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
15,18:39:10:177,Regenerating Pokeball,Poke-Drill,1.345s,58,8,0.138,1.6,11.6,0.138,false
16,18:39:11:019,Regenerating Pokeball,Poke-Drill,0.469s,18,10,0.556,2,3.6,0.556,false
17,18:39:11:718,Regenerating Pokeball,Poke-Drill,0.496s,18,6,0.333,1.2,3.6,0.333,false
18,18:39:12:241,Regenerating Pokeball,Poke-Drill,0.057s,7,6,0.857,1.2,1.4,0.857,false
19,18:39:12:625,Regenerating Pokeball,Poke-Drill,0.117s,13,6,0.462,1.2,2.6,0.462,false
20,18:39:13:221,Regenerating Pokeball,Poke-Drill,0.046s,6,6,1,1.2,1.2,1,false
21,18:39:13:780,Regenerating Pokeball,Poke-Drill,0.402s,25,9,0.36,1.8,5,0.36,false
22,18:39:14:129,Regenerating Pokeball,Poke-Drill,0.097s,11,6,0.545,1.2,2.2,0.545,false
23,18:39:14:584,Regenerating Pokeball,Poke-Drill,0.079s,9,9,1,1.8,1.8,1,false
24,18:39:15:213,Regenerating Pokeball,Poke-Drill,0.294s,16,9,0.562,1.8,3.2,0.562,false
25,18:39:15:394,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
26,18:39:15:878,Regenerating Pokeball,Poke-Drill,0.444s,14,8,0.571,1.6,2.8,0.571,false
27,18:39:16:472,Regenerating Pokeball,Poke-Drill,0.439s,22,10,0.455,2,4.4,0.455,false
28,18:39:16:962,Regenerating Pokeball,Poke-Drill,0.057s,7,7,1,1.4,1.4,1,false
29,18:39:17:310,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
30,18:39:17:592,Regenerating Pokeball,Poke-Drill,0.058s,7,7,1,1.4,1.4,1,false
31,18:39:18:011,Regenerating Pokeball,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
