Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:33:08:381,Quaker Bot Hard,LG,6.628s,143,50,0.35,300,858,0.35,false
2,20:33:17:349,Quaker Bot Hard,LG,6.426s,135,50,0.37,300,810,0.37,false
3,20:33:27:710,Quaker Bot Hard,LG,7.774s,170,50,0.294,300,1020,0.294,false
4,20:33:39:120,Quaker Bot Hard,LG,8.785s,192,50,0.26,300,1152,0.26,false
5,20:33:48:227,Quaker Bot Hard,LG,6.577s,144,50,0.347,300,864,0.347,false
6,20:33:59:515,Quaker Bot Hard,LG,8.757s,189,50,0.265,300,1134,0.265,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,973,300,1800.0,5838.0,

Kills:,6
Deaths:,0
Fight Time:,44.946999
Avg TTK:,7.491
Damage Done:,1800.0
Damage Taken:,2574.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,1189.144531
Score:,1268.139771
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,240.0
Sens Scale:,Quake/Source
Horiz Sens:,2.15
Vert Sens:,2.15
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
