Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:07:23:417,Botz Bot,shotgun,3.271s,20,7,0.35,63,180,0.35,false
1,22:07:23:417,Botz Bot,SMG,3.271s,32,12,0.375,38,128,0.297,false
2,22:07:29:414,Botz Bot,shotgun,5.043s,30,22,0.733,117,270,0.433,false
2,22:07:29:414,Botz Bot,SMG,5.043s,47,16,0.34,48,188,0.255,false
3,22:07:31:222,Botz Bot,SMG,1.499s,31,12,0.387,36,124,0.29,false
4,22:07:38:645,Botz Bot,shotgun,4.601s,30,20,0.667,153,270,0.567,false
4,22:07:38:645,Botz Bot,SMG,4.601s,56,17,0.304,38,224,0.17,false
5,22:07:39:524,Botz Bot,SMG,0.4s,9,3,0.333,10,36,0.278,false
6,22:07:42:832,Botz Bot,shotgun,2.338s,20,13,0.65,112.5,180,0.625,false
6,22:07:42:832,Botz Bot,SMG,2.338s,29,18,0.621,52,116,0.448,false
7,22:07:44:383,Botz Bot,SMG,1.381s,25,15,0.6,38,100,0.38,false
8,22:07:46:455,Botz Bot,shotgun,0.582s,10,10,1,90,90,1,false
8,22:07:46:455,Botz Bot,SMG,0.582s,5,5,1,10,20,0.5,false
9,22:07:50:254,Botz Bot,shotgun,3.041s,20,16,0.8,117,180,0.65,false
9,22:07:50:254,Botz Bot,SMG,3.041s,34,20,0.588,66,136,0.485,false
10,22:07:54:372,Botz Bot,shotgun,3.964s,10,0,0,0,90,0,false
10,22:07:54:372,Botz Bot,SMG,3.964s,50,14,0.28,34,200,0.17,false
11,22:08:04:989,Botz Bot,shotgun,9.944s,50,10,0.2,45,450,0.1,false
11,22:08:04:990,Botz Bot,SMG,9.944s,130,43,0.331,116,520,0.223,false
12,22:08:05:751,Botz Bot,shotgun,0s,10,10,1,45,90,0.5,false
13,22:08:13:945,Botz Bot,shotgun,8.074s,30,10,0.333,54,270,0.2,false
13,22:08:13:945,Botz Bot,SMG,8.074s,80,36,0.45,100,320,0.312,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
shotgun,230,118,796.5,2070.0,
SMG,618,238,670.0,2472.0,

Kills:,13
Deaths:,0
Fight Time:,44.138
Avg TTK:,3.395
Damage Done:,1466.5
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,4399.5
Scenario:,Shotgun + SMG Swap 50'50
Hash:,574519c93af35a5294263577e9a4edf9
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,223.0
Sens Scale:,Quake/Source
Horiz Sens:,1.89
Vert Sens:,1.89
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
