Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:13:00:147,Botz Bot,shotgun,3.831s,20,13,0.65,90,180,0.5,false
1,22:13:00:148,Botz Bot,SMG,3.831s,54,19,0.352,56,216,0.259,false
2,22:13:03:978,Botz Bot,shotgun,3.377s,10,10,1,76.5,90,0.85,false
2,22:13:03:978,Botz Bot,SMG,3.377s,48,19,0.396,58,192,0.302,false
3,22:13:04:790,Botz Bot,SMG,0.592s,11,6,0.545,24,44,0.545,false
4,22:13:09:522,Botz Bot,shotgun,3.486s,20,17,0.85,108,180,0.6,false
4,22:13:09:522,Botz Bot,SMG,3.486s,50,23,0.46,76,200,0.38,false
5,22:13:10:178,Botz Bot,SMG,0.43s,8,5,0.625,18,32,0.562,false
6,22:13:18:087,Botz Bot,shotgun,6.246s,30,10,0.333,58.5,270,0.217,false
6,22:13:18:087,Botz Bot,SMG,6.246s,90,48,0.533,134,360,0.372,false
7,22:13:19:155,Botz Bot,SMG,0.853s,18,2,0.111,8,72,0.111,false
8,22:13:25:974,Botz Bot,shotgun,5.782s,20,0,0,0,180,0,false
8,22:13:25:974,Botz Bot,SMG,5.782s,90,37,0.411,100,360,0.278,false
9,22:13:34:004,Botz Bot,shotgun,7.051s,20,0,0,0,180,0,false
9,22:13:34:004,Botz Bot,SMG,7.051s,118,49,0.415,130,472,0.275,false
10,22:13:41:890,Botz Bot,shotgun,7.799s,30,10,0.333,58.5,270,0.217,false
10,22:13:41:890,Botz Bot,SMG,7.799s,113,45,0.398,138,452,0.305,false
11,22:13:43:648,Botz Bot,SMG,1.198s,25,5,0.2,16,100,0.16,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
shotgun,190,67,423.0,1710.0,
SMG,772,302,892.0,3088.0,

Kills:,11
Deaths:,0
Fight Time:,40.645
Avg TTK:,3.695
Damage Done:,1315.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,25942.646484
Score:,6539.264648
Scenario:,Shotgun + SMG Swap 50'50
Hash:,574519c93af35a5294263577e9a4edf9
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,223.0
Sens Scale:,Quake/Source
Horiz Sens:,1.89
Vert Sens:,1.89
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
