Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:39:04:069,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
2,21:39:04:314,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
3,21:39:04:581,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
4,21:39:04:871,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
5,21:39:05:557,Snake 25 Tiles,Shooter Pistol,0.408s,2,1,0.5,10,20,0.5,false
6,21:39:06:071,Snake 25 Tiles,Shooter Pistol,0.251s,2,1,0.5,10,20,0.5,false
7,21:39:06:345,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
8,21:39:06:611,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
9,21:39:06:970,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
10,21:39:07:648,Snake 25 Tiles,Shooter Pistol,0.34s,2,1,0.5,10,20,0.5,false
11,21:39:07:908,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
12,21:39:08:152,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
13,21:39:08:536,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
14,21:39:08:804,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
15,21:39:09:048,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
16,21:39:09:296,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
17,21:39:10:143,Snake 25 Tiles,Shooter Pistol,0.596s,3,1,0.333,10,30,0.333,false
18,21:39:10:360,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
19,21:39:10:633,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
20,21:39:11:212,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
21,21:39:11:881,Snake 25 Tiles,Shooter Pistol,0.312s,2,1,0.5,10,20,0.5,false
22,21:39:12:553,Snake 25 Tiles,Shooter Pistol,0.439s,2,1,0.5,10,20,0.5,false
23,21:39:12:828,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
24,21:39:13:105,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
25,21:39:13:339,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
26,21:39:13:565,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
27,21:39:13:899,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
28,21:39:14:114,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
29,21:39:14:359,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
30,21:39:14:553,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
31,21:39:15:195,Snake 25 Tiles,Shooter Pistol,0.268s,2,1,0.5,10,20,0.5,false
32,21:39:15:405,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
33,21:39:15:689,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
34,21:39:15:998,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
35,21:39:16:273,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
36,21:39:16:878,Snake 25 Tiles,Shooter Pistol,0.365s,2,1,0.5,10,20,0.5,false
37,21:39:17:341,Snake 25 Tiles,Shooter Pistol,0.204s,2,1,0.5,10,20,0.5,false
38,21:39:17:549,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
39,21:39:17:820,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
40,21:39:18:034,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
41,21:39:18:490,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
42,21:39:19:086,Snake 25 Tiles,Shooter Pistol,0.397s,2,1,0.5,10,20,0.5,false
43,21:39:19:283,Snake 25 Tiles,Shooter Pistol,0.001s,1,1,1,10,10,1,false
44,21:39:19:501,Snake 25 Tiles,Shooter Pistol,0s,1,1,1,10,10,1,false
