Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:29:14:582,target,BB Gun,1.962s,4,1,0.25,1,4,0.25,false
2,13:29:15:308,target,BB Gun,0.512s,2,1,0.5,1,2,0.5,false
3,13:29:16:907,target,BB Gun,1.114s,2,1,0.5,1,2,0.5,false
4,13:29:17:758,target,BB Gun,0.722s,2,1,0.5,1,2,0.5,false
5,13:29:18:105,target,BB Gun,0s,1,1,1,1,1,1,false
6,13:29:18:895,target,BB Gun,0s,1,1,1,1,1,1,false
7,13:29:19:493,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
8,13:29:20:561,500ms,BB Gun,0.848s,2,1,0.5,1,2,0.5,false
9,13:29:20:889,target,BB Gun,0s,1,1,1,1,1,1,false
10,13:29:27:222,500ms,BB Gun,5.75s,7,1,0.143,1,7,0.143,false
11,13:29:29:283,500ms,BB Gun,1.111s,2,1,0.5,1,2,0.5,false
12,13:29:30:575,target,BB Gun,0.348s,2,1,0.5,1,2,0.5,false
13,13:29:31:079,target,BB Gun,0s,1,1,1,1,1,1,false
14,13:29:31:616,target,BB Gun,0s,1,1,1,1,1,1,false
15,13:29:32:232,target,BB Gun,0.443s,2,1,0.5,1,2,0.5,false
16,13:29:32:599,500ms,BB Gun,0s,1,1,1,1,1,1,false
17,13:29:32:790,target,BB Gun,0s,1,1,1,1,1,1,false
18,13:29:33:617,500ms,BB Gun,0.343s,2,1,0.5,1,2,0.5,false
19,13:29:33:801,target,BB Gun,0s,1,1,1,1,1,1,false
20,13:29:34:237,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,13:29:34:531,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
22,13:29:34:936,target,BB Gun,0s,1,1,1,1,1,1,false
23,13:29:36:311,target,BB Gun,0.955s,4,1,0.25,1,4,0.25,false
24,13:29:36:613,500ms,BB Gun,0s,1,1,1,1,1,1,false
25,13:29:36:911,target,BB Gun,0.001s,1,1,1,1,1,1,false
26,13:29:37:848,target,BB Gun,0.541s,3,1,0.333,1,3,0.333,false
27,13:29:38:282,target,BB Gun,0.25s,2,1,0.5,1,2,0.5,false
28,13:29:39:095,target,BB Gun,0.381s,2,1,0.5,1,2,0.5,false
29,13:29:39:789,target,BB Gun,0.223s,2,1,0.5,1,2,0.5,false
30,13:29:39:939,500ms,BB Gun,0s,1,1,1,1,1,1,false
31,13:29:40:539,target,BB Gun,0.293s,2,1,0.5,1,2,0.5,false
32,13:29:41:666,target,BB Gun,0.427s,2,1,0.5,1,2,0.5,false
33,13:29:42:036,500ms,BB Gun,0s,1,1,1,1,1,1,false
34,13:29:42:606,target,BB Gun,0.432s,2,1,0.5,1,2,0.5,false
35,13:29:43:026,target,BB Gun,0s,1,1,1,1,1,1,false
36,13:29:43:632,target,BB Gun,0.391s,2,1,0.5,1,2,0.5,false
37,13:29:43:998,target,BB Gun,0s,1,1,1,1,1,1,false
38,13:29:44:535,target,BB Gun,0.243s,2,1,0.5,1,2,0.5,false
39,13:29:45:145,target,BB Gun,0s,1,1,1,1,1,1,false
40,13:29:45:719,target,BB Gun,0.344s,2,1,0.5,1,2,0.5,false
41,13:29:46:139,target,BB Gun,0.001s,1,1,1,1,1,1,false
42,13:29:47:239,target,BB Gun,0.703s,3,1,0.333,1,3,0.333,false
43,13:29:47:756,500ms,BB Gun,0s,1,1,1,1,1,1,false
44,13:29:48:519,target,BB Gun,0.609s,2,1,0.5,1,2,0.5,false
45,13:29:49:133,target,BB Gun,0.404s,2,1,0.5,1,2,0.5,false
46,13:29:49:603,target,BB Gun,0.001s,1,1,1,1,1,1,false
47,13:29:49:816,500ms,BB Gun,0s,1,1,1,1,1,1,false
48,13:29:50:094,target,BB Gun,0.001s,1,1,1,1,1,1,false
49,13:29:50:449,target,BB Gun,0s,1,1,1,1,1,1,false
50,13:29:51:246,target,BB Gun,0.504s,2,1,0.5,1,2,0.5,false
51,13:29:51:715,target,BB Gun,0s,1,1,1,1,1,1,false
52,13:29:52:002,target,BB Gun,0.001s,1,1,1,1,1,1,false
53,13:29:53:099,target,BB Gun,0.827s,3,1,0.333,1,3,0.333,false
54,13:29:53:276,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
55,13:29:53:892,target,BB Gun,0.296s,2,1,0.5,1,2,0.5,false
56,13:29:54:326,500ms,BB Gun,0s,1,1,1,1,1,1,false
57,13:29:54:494,target,BB Gun,0s,1,1,1,1,1,1,false
58,13:29:54:989,target,BB Gun,0s,1,1,1,1,1,1,false
59,13:29:55:510,target,BB Gun,0s,1,1,1,1,1,1,false
60,13:29:56:322,target,BB Gun,0.668s,3,1,0.333,1,3,0.333,false
61,13:29:56:479,500ms,BB Gun,0s,1,1,1,1,1,1,false
62,13:29:56:913,target,BB Gun,0.337s,2,1,0.5,1,2,0.5,false
63,13:29:58:119,target,BB Gun,0.779s,3,1,0.333,1,3,0.333,false
64,13:29:58:570,target,BB Gun,0s,1,1,1,1,1,1,false
65,13:29:58:784,500ms,BB Gun,0s,1,1,1,1,1,1,false
66,13:29:59:361,target,BB Gun,0s,1,1,1,1,1,1,false
67,13:30:00:526,target,BB Gun,0.723s,3,1,0.333,1,3,0.333,false
68,13:30:01:009,target,BB Gun,0s,1,1,1,1,1,1,false
69,13:30:04:360,500ms,BB Gun,3.164s,5,1,0.2,1,5,0.2,false
70,13:30:05:243,500ms,BB Gun,0s,1,1,1,1,1,1,false
71,13:30:08:456,500ms,BB Gun,2.33s,3,1,0.333,1,3,0.333,false
72,13:30:10:491,500ms,BB Gun,1.067s,2,1,0.5,1,2,0.5,false

