Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:59:59:943,Thin very long strafe,Track Master 100,6.767s,647,200,0.309,200,647,0.309,false
2,22:00:06:780,Thin very long strafe,Track Master 100,6.588s,440,200,0.455,200,440,0.455,false
3,22:00:16:871,Thin very long strafe,Track Master 100,9.842s,618,200,0.324,200,618,0.324,false
4,22:00:26:601,Thin very long strafe,Track Master 100,9.48s,646,200,0.31,200,646,0.31,false
5,22:00:35:274,Thin very long strafe,Track Master 100,8.422s,591,200,0.338,200,591,0.338,false
6,22:00:46:365,Thin very long strafe,Track Master 100,10.841s,801,200,0.25,200,801,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,3888,1258,1258.0,3888.0,

Kills:,6
Deaths:,0
Fight Time:,51.939999
Avg TTK:,8.657
Damage Done:,1258.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1258.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
