Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:01:12:486,Thin very long strafe,Track Master 100,5.424s,531,200,0.377,200,531,0.377,false
2,22:01:21:214,Thin very long strafe,Track Master 100,8.474s,523,200,0.382,200,523,0.382,false
3,22:01:28:716,Thin very long strafe,Track Master 100,7.262s,493,200,0.406,200,493,0.406,false
4,22:01:37:443,Thin very long strafe,Track Master 100,5.913s,546,200,0.366,200,546,0.366,false
5,22:01:46:210,Thin very long strafe,Track Master 100,8.517s,553,200,0.362,200,553,0.362,false
6,22:01:54:612,Thin very long strafe,Track Master 100,8.15s,566,200,0.353,200,566,0.353,false
7,22:02:04:057,Thin very long strafe,Track Master 100,9.189s,678,200,0.295,200,678,0.295,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,3891,1400,1400.0,3891.0,

Kills:,7
Deaths:,0
Fight Time:,52.929001
Avg TTK:,7.561
Damage Done:,1400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1400.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
