Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:30:10:471,target,pistol,0s,1,1,1,25,50,0.5,false
2,02:30:10:664,target,pistol,0s,1,1,1,25,50,0.5,false
3,02:30:10:895,target,pistol,0s,1,1,1,25,50,0.5,false
4,02:30:11:142,target,pistol,0s,1,1,1,25,50,0.5,false
5,02:30:11:318,target,pistol,0s,1,1,1,25,50,0.5,false
6,02:30:11:601,target,pistol,0s,1,1,1,25,50,0.5,false
7,02:30:11:852,target,pistol,0s,1,1,1,25,50,0.5,false
8,02:30:12:018,target,pistol,0.001s,1,1,1,25,50,0.5,false
9,02:30:12:279,target,pistol,0s,1,1,1,25,50,0.5,false
10,02:30:12:554,target,pistol,0s,1,1,1,25,50,0.5,false
11,02:30:12:767,target,pistol,0s,1,1,1,25,50,0.5,false
12,02:30:13:041,target,pistol,0s,1,1,1,25,50,0.5,false
13,02:30:13:321,target,pistol,0s,1,1,1,25,50,0.5,false
14,02:30:13:557,target,pistol,0s,1,1,1,25,50,0.5,false
15,02:30:13:874,target,pistol,0s,1,1,1,25,50,0.5,false
16,02:30:14:089,target,pistol,0s,1,1,1,25,50,0.5,false
17,02:30:14:399,target,pistol,0s,1,1,1,25,50,0.5,false
18,02:30:14:570,target,pistol,0s,1,1,1,25,50,0.5,false
19,02:30:14:761,target,pistol,0s,1,1,1,25,50,0.5,false
20,02:30:14:954,target,pistol,0s,1,1,1,25,50,0.5,false
21,02:30:15:223,target,pistol,0s,1,1,1,25,50,0.5,false
22,02:30:15:426,target,pistol,0s,1,1,1,25,50,0.5,false
23,02:30:15:903,target,pistol,0.192s,2,1,0.5,25,100,0.25,false
24,02:30:16:213,target,pistol,0s,1,1,1,25,50,0.5,false
25,02:30:16:732,target,pistol,0.25s,2,1,0.5,25,100,0.25,false
26,02:30:16:911,target,pistol,0s,1,1,1,25,50,0.5,false
27,02:30:17:197,target,pistol,0s,1,1,1,25,50,0.5,false
28,02:30:17:380,target,pistol,0s,1,1,1,25,50,0.5,false
29,02:30:17:562,target,pistol,0s,1,1,1,25,50,0.5,false
30,02:30:17:755,target,pistol,0s,1,1,1,25,50,0.5,false
31,02:30:17:944,target,pistol,0s,1,1,1,25,50,0.5,false
32,02:30:18:113,target,pistol,0s,1,1,1,25,50,0.5,false
33,02:30:18:274,target,pistol,0s,1,1,1,25,50,0.5,false
34,02:30:18:449,target,pistol,0s,1,1,1,25,50,0.5,false
35,02:30:18:640,target,pistol,0s,1,1,1,25,50,0.5,false
36,02:30:18:818,target,pistol,0s,1,1,1,25,50,0.5,false
37,02:30:19:142,target,pistol,0s,1,1,1,25,50,0.5,false
38,02:30:19:589,target,pistol,0.229s,2,1,0.5,25,100,0.25,false
39,02:30:19:786,target,pistol,0s,1,1,1,25,50,0.5,false
40,02:30:20:274,target,pistol,0.202s,2,1,0.5,25,100,0.25,false
41,02:30:20:576,target,pistol,0s,1,1,1,25,50,0.5,false
42,02:30:20:796,target,pistol,0s,1,1,1,25,50,0.5,false
43,02:30:20:980,target,pistol,0s,1,1,1,25,50,0.5,false
44,02:30:21:618,target,pistol,0.418s,2,1,0.5,25,100,0.25,false
45,02:30:21:894,target,pistol,0s,1,1,1,25,50,0.5,false
46,02:30:22:199,target,pistol,0s,1,1,1,25,50,0.5,false
47,02:30:22:377,target,pistol,0s,1,1,1,25,50,0.5,false
48,02:30:22:618,target,pistol,0s,1,1,1,25,50,0.5,false
49,02:30:22:838,target,pistol,0s,1,1,1,25,50,0.5,false
50,02:30:23:061,target,pistol,0s,1,1,1,25,50,0.5,false
51,02:30:23:322,target,pistol,0s,1,1,1,25,50,0.5,false
52,02:30:23:546,target,pistol,0.001s,1,1,1,25,50,0.5,false
53,02:30:23:773,target,pistol,0s,1,1,1,25,50,0.5,false
54,02:30:23:965,target,pistol,0s,1,1,1,25,50,0.5,false
55,02:30:24:183,target,pistol,0s,1,1,1,25,50,0.5,false
56,02:30:24:465,target,pistol,0s,1,1,1,25,50,0.5,false
57,02:30:24:680,target,pistol,0s,1,1,1,25,50,0.5,false
58,02:30:24:950,target,pistol,0s,1,1,1,25,50,0.5,false
59,02:30:25:154,target,pistol,0s,1,1,1,25,50,0.5,false
60,02:30:25:395,target,pistol,0s,1,1,1,25,50,0.5,false
61,02:30:25:650,target,pistol,0s,1,1,1,25,50,0.5,false
62,02:30:25:886,target,pistol,0s,1,1,1,25,50,0.5,false
63,02:30:26:088,target,pistol,0s,1,1,1,25,50,0.5,false
64,02:30:26:341,target,pistol,0s,1,1,1,25,50,0.5,false
65,02:30:26:568,target,pistol,0s,1,1,1,25,50,0.5,false
66,02:30:26:788,target,pistol,0s,1,1,1,25,50,0.5,false
67,02:30:27:019,target,pistol,0s,1,1,1,25,50,0.5,false
68,02:30:27:235,target,pistol,0s,1,1,1,25,50,0.5,false
69,02:30:27:435,target,pistol,0s,1,1,1,25,50,0.5,false
70,02:30:27:675,target,pistol,0s,1,1,1,25,50,0.5,false
71,02:30:27:863,target,pistol,0s,1,1,1,25,50,0.5,false
72,02:30:28:073,target,pistol,0s,1,1,1,25,50,0.5,false
73,02:30:28:395,target,pistol,0s,1,1,1,25,50,0.5,false
74,02:30:28:589,target,pistol,0s,1,1,1,25,50,0.5,false
75,02:30:28:758,target,pistol,0s,1,1,1,25,50,0.5,false
76,02:30:29:644,target,pistol,0.453s,3,1,0.333,25,150,0.167,false
77,02:30:29:815,target,pistol,0s,1,1,1,25,50,0.5,false
78,02:30:30:034,target,pistol,0.001s,1,1,1,25,50,0.5,false
79,02:30:30:686,target,pistol,0.482s,3,1,0.333,25,150,0.167,false
80,02:30:31:034,target,pistol,0s,1,1,1,25,50,0.5,false
81,02:30:31:214,target,pistol,0.001s,1,1,1,25,50,0.5,false
82,02:30:31:481,target,pistol,0.001s,1,1,1,25,50,0.5,false
