Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:57:30:412,TileFrenzy Cube,TileFrenzy Challenge,0.271s,2,1,0.5,100,400,0.25,false
2,13:57:30:647,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
3,13:57:30:876,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
4,13:57:31:136,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
5,13:57:31:391,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
6,13:57:31:909,TileFrenzy Cube,TileFrenzy Challenge,0.25s,2,1,0.5,100,400,0.25,false
7,13:57:32:658,TileFrenzy Cube,TileFrenzy Challenge,0.474s,2,1,0.5,100,400,0.25,false
8,13:57:32:916,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
9,13:57:33:180,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
10,13:57:33:478,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
11,13:57:33:712,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
12,13:57:34:093,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
13,13:57:34:367,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
14,13:57:34:615,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
15,13:57:34:854,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
16,13:57:35:127,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
17,13:57:35:368,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
18,13:57:36:090,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
19,13:57:36:348,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
