Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:02:56:756,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
2,20:02:57:428,TileFrenzyStrafing Cube,LG,0.456s,11,9,0.818,54,66,0.818,false
3,20:02:58:149,TileFrenzyStrafing Cube,LG,0.412s,10,9,0.9,54,60,0.9,false
4,20:02:58:737,TileFrenzyStrafing Cube,LG,0.365s,9,9,1,54,54,1,false
5,20:02:59:362,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
6,20:03:00:908,TileFrenzyStrafing Cube,LG,1.214s,15,9,0.6,54,90,0.6,false
7,20:03:01:899,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
8,20:03:02:501,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
9,20:03:03:488,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
10,20:03:04:277,TileFrenzyStrafing Cube,LG,0.506s,12,9,0.75,54,72,0.75,false
11,20:03:04:894,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
12,20:03:05:514,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
13,20:03:06:673,TileFrenzyStrafing Cube,LG,0.551s,13,9,0.692,54,78,0.692,false
14,20:03:07:123,TileFrenzyStrafing Cube,LG,0.369s,9,9,1,54,54,1,false
15,20:03:07:824,TileFrenzyStrafing Cube,LG,0.412s,10,9,0.9,54,60,0.9,false
16,20:03:08:534,TileFrenzyStrafing Cube,LG,0.646s,15,11,0.733,66,90,0.733,false
17,20:03:09:386,TileFrenzyStrafing Cube,LG,0.551s,13,9,0.692,54,78,0.692,false
18,20:03:09:888,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
19,20:03:10:815,TileFrenzyStrafing Cube,LG,0.64s,15,9,0.6,54,90,0.6,false
20,20:03:11:923,TileFrenzyStrafing Cube,LG,0.457s,11,8,0.727,48,66,0.727,false
21,20:03:12:604,TileFrenzyStrafing Cube,LG,0.367s,9,8,0.889,48,54,0.889,false
22,20:03:13:113,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
23,20:03:14:564,TileFrenzyStrafing Cube,LG,1.116s,24,12,0.5,72,144,0.5,false
24,20:03:15:076,TileFrenzyStrafing Cube,LG,0.227s,6,6,1,36,36,1,false
25,20:03:16:209,TileFrenzyStrafing Cube,LG,0.778s,18,9,0.5,54,108,0.5,false
26,20:03:17:581,TileFrenzyStrafing Cube,LG,0.458s,11,9,0.818,54,66,0.818,false
27,20:03:19:892,TileFrenzyStrafing Cube,LG,1.543s,24,17,0.708,102,144,0.708,false
28,20:03:20:054,TileFrenzyStrafing Cube,LG,0s,1,1,1,6,6,1,false
29,20:03:20:853,TileFrenzyStrafing Cube,LG,0.642s,15,9,0.6,54,90,0.6,false
30,20:03:21:620,TileFrenzyStrafing Cube,LG,0.595s,14,11,0.786,66,84,0.786,false
