Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:32:39:113,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
2,01:32:39:548,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
3,01:32:40:646,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
4,01:32:41:260,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
5,01:32:42:584,TileFrenzyStrafing Cube,LG,1.199s,27,17,0.63,102,162,0.63,false
6,01:32:43:157,TileFrenzyStrafing Cube,LG,0.044s,2,1,0.5,6,12,0.5,false
7,01:32:44:387,TileFrenzyStrafing Cube,LG,0.457s,11,11,1,66,66,1,false
8,01:32:44:844,TileFrenzyStrafing Cube,LG,0.274s,7,7,1,42,42,1,false
9,01:32:45:897,TileFrenzyStrafing Cube,LG,1.008s,20,17,0.85,102,120,0.85,false
10,01:32:46:450,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
11,01:32:46:598,TileFrenzyStrafing Cube,LG,0s,1,1,1,6,6,1,false
12,01:32:47:607,TileFrenzyStrafing Cube,LG,0.78s,18,10,0.556,60,108,0.556,false
13,01:32:48:159,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
14,01:32:49:577,TileFrenzyStrafing Cube,LG,1.172s,17,16,0.941,96,102,0.941,false
15,01:32:50:412,TileFrenzyStrafing Cube,LG,0.646s,15,9,0.6,54,90,0.6,false
16,01:32:51:076,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
17,01:32:51:969,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
18,01:32:52:785,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
19,01:32:53:314,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
20,01:32:54:512,TileFrenzyStrafing Cube,LG,0.641s,15,9,0.6,54,90,0.6,false
21,01:32:55:373,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
22,01:32:55:862,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
23,01:32:57:300,TileFrenzyStrafing Cube,LG,0.761s,12,9,0.75,54,72,0.75,false
24,01:32:57:911,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
25,01:32:58:450,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
26,01:32:58:960,TileFrenzyStrafing Cube,LG,0s,1,1,1,6,6,1,false
27,01:32:59:808,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
28,01:33:01:131,TileFrenzyStrafing Cube,LG,0.686s,16,9,0.562,54,96,0.562,false
29,01:33:01:760,TileFrenzyStrafing Cube,LG,0.369s,9,9,1,54,54,1,false
30,01:33:02:289,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
31,01:33:02:988,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
32,01:33:03:612,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
33,01:33:04:302,TileFrenzyStrafing Cube,LG,0.551s,13,9,0.692,54,78,0.692,false
34,01:33:04:854,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
35,01:33:05:361,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
36,01:33:05:958,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
37,01:33:06:576,TileFrenzyStrafing Cube,LG,0.372s,9,9,1,54,54,1,false
38,01:33:07:330,TileFrenzyStrafing Cube,LG,0.597s,14,9,0.643,54,84,0.643,false
