Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:32:08:266,target,pistol mini,0s,1,1,1,25,50,0.5,false
2,12:32:08:496,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
3,12:32:08:887,target,pistol mini,0.2s,2,1,0.5,25,100,0.25,false
4,12:32:09:129,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
5,12:32:09:350,target,pistol mini,0s,1,1,1,25,50,0.5,false
6,12:32:10:021,target,pistol mini,0.45s,3,1,0.333,25,150,0.167,false
7,12:32:10:221,target,pistol mini,0s,1,1,1,25,50,0.5,false
8,12:32:10:405,target,pistol mini,0s,1,1,1,25,50,0.5,false
9,12:32:10:583,target,pistol mini,0s,1,1,1,25,50,0.5,false
10,12:32:10:762,target,pistol mini,0s,1,1,1,25,50,0.5,false
11,12:32:10:933,target,pistol mini,0s,1,1,1,25,50,0.5,false
12,12:32:11:117,target,pistol mini,0s,1,1,1,25,50,0.5,false
13,12:32:11:346,target,pistol mini,0s,1,1,1,25,50,0.5,false
14,12:32:11:746,target,pistol mini,0.209s,2,1,0.5,25,100,0.25,false
15,12:32:12:042,target,pistol mini,0s,1,1,1,25,50,0.5,false
16,12:32:12:221,target,pistol mini,0s,1,1,1,25,50,0.5,false
17,12:32:12:900,target,pistol mini,0.513s,3,1,0.333,25,150,0.167,false
18,12:32:13:067,target,pistol mini,0s,1,1,1,25,50,0.5,false
19,12:32:13:446,target,pistol mini,0.2s,2,1,0.5,25,100,0.25,false
20,12:32:13:696,target,pistol mini,0s,1,1,1,25,50,0.5,false
21,12:32:13:879,target,pistol mini,0s,1,1,1,25,50,0.5,false
22,12:32:14:059,target,pistol mini,0s,1,1,1,25,50,0.5,false
23,12:32:14:254,target,pistol mini,0s,1,1,1,25,50,0.5,false
24,12:32:14:509,target,pistol mini,0s,1,1,1,25,50,0.5,false
25,12:32:14:747,target,pistol mini,0s,1,1,1,25,50,0.5,false
26,12:32:14:985,target,pistol mini,0s,1,1,1,25,50,0.5,false
27,12:32:15:172,target,pistol mini,0s,1,1,1,25,50,0.5,false
28,12:32:15:343,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
29,12:32:15:530,target,pistol mini,0s,1,1,1,25,50,0.5,false
30,12:32:15:705,target,pistol mini,0s,1,1,1,25,50,0.5,false
31,12:32:15:897,target,pistol mini,0s,1,1,1,25,50,0.5,false
32,12:32:16:188,target,pistol mini,0s,1,1,1,25,50,0.5,false
33,12:32:16:384,target,pistol mini,0s,1,1,1,25,50,0.5,false
34,12:32:16:581,target,pistol mini,0.002s,1,1,1,25,50,0.5,false
35,12:32:16:755,target,pistol mini,0s,1,1,1,25,50,0.5,false
36,12:32:16:943,target,pistol mini,0s,1,1,1,25,50,0.5,false
37,12:32:17:122,target,pistol mini,0s,1,1,1,25,50,0.5,false
38,12:32:17:288,target,pistol mini,0s,1,1,1,25,50,0.5,false
39,12:32:17:484,target,pistol mini,0s,1,1,1,25,50,0.5,false
