Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:35:44:805,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
2,00:35:46:523,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
3,00:35:47:395,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
4,00:35:48:664,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
5,00:35:49:206,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
6,00:35:50:279,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
7,00:35:51:148,Pigeon,pistol,0.001s,1,1,1,100,200,0.5,false
8,00:35:53:662,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
9,00:35:54:494,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
10,00:35:55:278,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
11,00:35:56:586,Pigeon,pistol,0.489s,2,1,0.5,100,400,0.25,false
12,00:35:57:659,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
13,00:35:58:478,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
14,00:35:59:691,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
15,00:36:00:483,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
16,00:36:01:284,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
17,00:36:02:336,Pigeon,pistol,0.296s,2,1,0.5,100,400,0.25,false
18,00:36:05:580,Pigeon,pistol,2.291s,4,1,0.25,100,800,0.125,false
19,00:36:06:265,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
20,00:36:07:250,Pigeon,pistol,0.001s,1,1,1,100,200,0.5,false
21,00:36:09:670,Pigeon,pistol,1.623s,3,1,0.333,100,600,0.167,false
22,00:36:13:987,Pigeon,pistol,3.648s,6,1,0.167,100,1200,0.083,false
23,00:36:15:220,Pigeon,pistol,0.602s,2,1,0.5,100,400,0.25,false
24,00:36:16:095,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
25,00:36:16:726,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
26,00:36:17:384,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
27,00:36:18:164,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
28,00:36:19:357,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
29,00:36:19:874,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
30,00:36:21:094,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
31,00:36:22:511,Pigeon,pistol,0.753s,2,1,0.5,100,400,0.25,false
32,00:36:23:428,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
33,00:36:24:358,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
34,00:36:25:201,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
35,00:36:25:934,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
36,00:36:27:245,Pigeon,pistol,0.551s,2,1,0.5,100,400,0.25,false
37,00:36:29:172,Pigeon,pistol,1.31s,3,1,0.333,100,600,0.167,false
38,00:36:29:730,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
39,00:36:30:737,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
40,00:36:31:807,Pigeon,pistol,0.376s,2,1,0.5,100,400,0.25,false
41,00:36:38:715,Pigeon,pistol,6.215s,9,1,0.111,100,1800,0.056,false
42,00:36:39:099,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
43,00:36:40:336,Pigeon,pistol,0.488s,2,1,0.5,100,400,0.25,false
44,00:36:41:415,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
45,00:36:41:869,Pigeon,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,73,45,4500.0,14600.0,
LG,0,0,0.0,0.0,

Kills:,45
Deaths:,0
Fight Time:,18.644001
Avg TTK:,0.414
Damage Done:,4500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3051.369629
Scenario:,Vertical Hand Warmup
Hash:,76c652e6b4fd65891e77cfdfe78933a9
Game Version:,1.0.8.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.8
Vert Sens:,1.8
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
