Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:55:08:382,target,BB Gun,0s,1,1,1,1,1,1,false
2,20:55:08:961,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,20:55:09:532,target,BB Gun,0s,1,1,1,1,1,1,false
4,20:55:10:268,target,BB Gun,0s,1,1,1,1,1,1,false
5,20:55:11:121,target,BB Gun,0s,1,1,1,1,1,1,false
6,20:55:11:596,target,BB Gun,0s,1,1,1,1,1,1,false
7,20:55:11:869,target,BB Gun,0s,1,1,1,1,1,1,false
8,20:55:12:570,target,BB Gun,0s,1,1,1,1,1,1,false
9,20:55:13:194,target,BB Gun,0.001s,1,1,1,1,1,1,false
10,20:55:13:772,target,BB Gun,0s,1,1,1,1,1,1,false
11,20:55:14:537,target,BB Gun,0.001s,1,1,1,1,1,1,false
12,20:55:14:845,target,BB Gun,0s,1,1,1,1,1,1,false
13,20:55:15:188,target,BB Gun,0s,1,1,1,1,1,1,false
14,20:55:15:729,target,BB Gun,0.001s,1,1,1,1,1,1,false
15,20:55:16:423,target,BB Gun,0s,1,1,1,1,1,1,false
16,20:55:17:824,target,BB Gun,0.741s,2,1,0.5,1,2,0.5,false
17,20:55:18:405,target,BB Gun,0s,1,1,1,1,1,1,false
18,20:55:18:954,target,BB Gun,0s,1,1,1,1,1,1,false
19,20:55:19:633,target,BB Gun,0s,1,1,1,1,1,1,false
20,20:55:20:029,target,BB Gun,0s,1,1,1,1,1,1,false
21,20:55:21:247,target,BB Gun,0.51s,2,1,0.5,1,2,0.5,false
22,20:55:21:882,target,BB Gun,0s,1,1,1,1,1,1,false
23,20:55:22:457,target,BB Gun,0s,1,1,1,1,1,1,false
24,20:55:23:003,target,BB Gun,0s,1,1,1,1,1,1,false
25,20:55:23:837,target,BB Gun,0s,1,1,1,1,1,1,false
26,20:55:24:311,target,BB Gun,0s,1,1,1,1,1,1,false
27,20:55:25:673,target,BB Gun,0.714s,2,1,0.5,1,2,0.5,false
