Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:38:39:867,air1_far_short,Alcove_Tracking_Weapon,0.369s,208,169,0.812,156,190,0.821,false
2,20:38:41:132,air1_far_short,Alcove_Tracking_Weapon,0.616s,351,173,0.493,159,320,0.497,false
3,20:38:42:692,air1_far_short,Alcove_Tracking_Weapon,1.209s,604,164,0.272,153,550,0.278,false
4,20:38:44:079,air1_far_short,Alcove_Tracking_Weapon,0.888s,505,201,0.398,184,460,0.4,false
5,20:38:45:214,air1_far_short,Alcove_Tracking_Weapon,0.961s,417,136,0.326,127,380,0.334,false
6,20:38:46:501,air1_far_short,Alcove_Tracking_Weapon,0.726s,417,172,0.412,158,380,0.416,false
7,20:38:47:826,air1_far_short,Alcove_Tracking_Weapon,1.017s,571,163,0.285,152,520,0.292,false
8,20:38:49:006,air1_far_short,Alcove_Tracking_Weapon,0.625s,351,168,0.479,155,320,0.484,false
9,20:38:49:947,air1_far_short,Alcove_Tracking_Weapon,0.518s,296,163,0.551,150,270,0.556,false
10,20:38:52:083,air1_far_short,Alcove_Tracking_Weapon,1.289s,725,158,0.218,150,660,0.227,false
11,20:38:53:276,air1_far_short,Alcove_Tracking_Weapon,0.758s,428,171,0.4,158,390,0.405,false
12,20:38:54:461,air1_far_short,Alcove_Tracking_Weapon,0.82s,461,175,0.38,159,420,0.379,false
13,20:38:55:591,air1_far_short,Alcove_Tracking_Weapon,0.775s,439,163,0.371,151,400,0.377,false
14,20:38:57:200,air1_far_short,Alcove_Tracking_Weapon,0.825s,461,164,0.356,153,420,0.364,false
15,20:38:58:946,air1_far_short,Alcove_Tracking_Weapon,0.959s,538,169,0.314,155,490,0.316,false
16,20:39:00:514,air1_far_short,Alcove_Tracking_Weapon,0.531s,307,164,0.534,150,280,0.536,false
17,20:39:01:107,air1_far_short,Alcove_Tracking_Weapon,0.4s,230,163,0.709,150,210,0.714,false
18,20:39:03:074,air1_far_short,Alcove_Tracking_Weapon,1.15s,648,169,0.261,153,590,0.259,false
19,20:39:04:126,air1_far_short,Alcove_Tracking_Weapon,0.909s,505,165,0.327,153,460,0.333,false
20,20:39:05:530,air1_far_short,Alcove_Tracking_Weapon,0.691s,395,169,0.428,155,360,0.431,false
21,20:39:07:485,air1_far_short,Alcove_Tracking_Weapon,1.569s,879,163,0.185,153,800,0.191,false
22,20:39:08:732,air1_far_short,Alcove_Tracking_Weapon,0.985s,527,179,0.34,165,480,0.344,false
23,20:39:10:146,air1_far_short,Alcove_Tracking_Weapon,1.176s,659,155,0.235,147,600,0.245,false
24,20:39:12:123,air1_far_short,Alcove_Tracking_Weapon,1.242s,692,164,0.237,152,630,0.241,false
25,20:39:13:324,air1_far_short,Alcove_Tracking_Weapon,0.963s,532,168,0.316,152,484,0.314,false
26,20:39:14:885,air1_far_short,Alcove_Tracking_Weapon,1.332s,615,167,0.272,155,560,0.277,false
27,20:39:16:278,air1_far_short,Alcove_Tracking_Weapon,1.051s,593,163,0.275,154,540,0.285,false
28,20:39:17:265,air1_far_short,Alcove_Tracking_Weapon,0.637s,362,172,0.475,159,330,0.482,false
29,20:39:18:734,air1_far_short,Alcove_Tracking_Weapon,0.881s,494,171,0.346,152,450,0.338,false
30,20:39:20:779,air1_far_short,Alcove_Tracking_Weapon,0.879s,494,173,0.35,159,450,0.353,false
31,20:39:22:336,air1_far_short,Alcove_Tracking_Weapon,1.207s,681,165,0.242,152,620,0.245,false
32,20:39:23:825,air1_far_short,Alcove_Tracking_Weapon,1.058s,593,168,0.283,154,540,0.285,false
33,20:39:25:150,air1_far_short,Alcove_Tracking_Weapon,1.072s,604,161,0.267,151,550,0.275,false
34,20:39:26:059,air1_far_short,Alcove_Tracking_Weapon,0.804s,450,166,0.369,157,410,0.383,false
35,20:39:27:220,air1_far_short,Alcove_Tracking_Weapon,0.437s,252,166,0.659,155,230,0.674,false
36,20:39:28:593,air1_far_short,Alcove_Tracking_Weapon,1.121s,626,164,0.262,151,570,0.265,false
37,20:39:29:612,air1_far_short,Alcove_Tracking_Weapon,0.776s,351,168,0.479,153,320,0.478,false
38,20:39:30:378,air1_far_short,Alcove_Tracking_Weapon,0.499s,285,163,0.572,151,260,0.581,false
