Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:52:02:418,target,BB Gun,0s,1,1,1,1,1,1,false
2,14:52:03:088,target,BB Gun,0s,1,1,1,1,1,1,false
3,14:52:03:930,target,BB Gun,0.001s,1,1,1,1,1,1,false
4,14:52:04:829,target,BB Gun,0s,1,1,1,1,1,1,false
5,14:52:05:582,target,BB Gun,0s,1,1,1,1,1,1,false
6,14:52:06:354,target,BB Gun,0s,1,1,1,1,1,1,false
7,14:52:07:223,target,BB Gun,0s,1,1,1,1,1,1,false
8,14:52:08:082,target,BB Gun,0s,1,1,1,1,1,1,false
9,14:52:08:935,target,BB Gun,0s,1,1,1,1,1,1,false
10,14:52:09:974,target,BB Gun,0s,1,1,1,1,1,1,false
11,14:52:10:737,target,BB Gun,0s,1,1,1,1,1,1,false
12,14:52:11:642,target,BB Gun,0s,1,1,1,1,1,1,false
13,14:52:12:531,target,BB Gun,0s,1,1,1,1,1,1,false
14,14:52:13:761,target,BB Gun,0.4s,2,1,0.5,1,2,0.5,false
15,14:52:14:284,target,BB Gun,0s,1,1,1,1,1,1,false
16,14:52:14:973,target,BB Gun,0s,1,1,1,1,1,1,false
17,14:52:15:581,target,BB Gun,0s,1,1,1,1,1,1,false
18,14:52:16:327,target,BB Gun,0s,1,1,1,1,1,1,false
19,14:52:17:049,target,BB Gun,0s,1,1,1,1,1,1,false
20,14:52:18:079,target,BB Gun,0s,1,1,1,1,1,1,false
21,14:52:18:654,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,14:52:19:751,target,BB Gun,0s,1,1,1,1,1,1,false
23,14:52:20:683,target,BB Gun,0s,1,1,1,1,1,1,false
24,14:52:21:782,target,BB Gun,0s,1,1,1,1,1,1,false
25,14:52:22:572,target,BB Gun,0s,1,1,1,1,1,1,false
26,14:52:23:251,target,BB Gun,0s,1,1,1,1,1,1,false
27,14:52:23:903,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,14:52:24:717,target,BB Gun,0s,1,1,1,1,1,1,false
29,14:52:25:382,target,BB Gun,0s,1,1,1,1,1,1,false
30,14:52:26:151,target,BB Gun,0s,1,1,1,1,1,1,false
31,14:52:27:133,target,BB Gun,0s,1,1,1,1,1,1,false
