Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:46:12:578,Quaker Bot Long Strafes,LG,0.427s,44,20,0.455,100,220,0.455,false
2,14:46:13:807,Quaker Bot Long Strafes,LG,0.979s,99,20,0.202,100,495,0.202,false
3,14:46:14:598,Quaker Bot Long Strafes,LG,0.541s,55,20,0.364,100,275,0.364,false
4,14:46:15:579,Quaker Bot Long Strafes,LG,0.731s,50,20,0.4,100,250,0.4,false
5,14:46:16:308,Quaker Bot Long Strafes,LG,0.48s,49,20,0.408,100,245,0.408,false
6,14:46:17:110,Quaker Bot Long Strafes,LG,0.551s,56,20,0.357,100,280,0.357,false
7,14:46:17:809,Quaker Bot Long Strafes,LG,0.449s,42,20,0.476,100,210,0.476,false
8,14:46:18:710,Quaker Bot Long Strafes,LG,0.651s,66,20,0.303,100,330,0.303,false
9,14:46:19:458,Quaker Bot Long Strafes,LG,0.498s,51,20,0.392,100,255,0.392,false
10,14:46:20:190,Quaker Bot Long Strafes,LG,0.48s,49,20,0.408,100,245,0.408,false
11,14:46:20:799,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
12,14:46:21:631,Quaker Bot Long Strafes,LG,0.581s,59,20,0.339,100,295,0.339,false
13,14:46:22:300,Quaker Bot Long Strafes,LG,0.411s,42,20,0.476,100,210,0.476,false
14,14:46:22:908,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
15,14:46:23:489,Quaker Bot Long Strafes,LG,0.331s,34,20,0.588,100,170,0.588,false
16,14:46:24:148,Quaker Bot Long Strafes,LG,0.409s,42,20,0.476,100,210,0.476,false
17,14:46:24:620,Quaker Bot Long Strafes,LG,0.221s,23,20,0.87,100,115,0.87,false
18,14:46:25:520,Quaker Bot Long Strafes,LG,0.649s,66,20,0.303,100,330,0.303,false
19,14:46:26:688,Quaker Bot Long Strafes,LG,0.918s,93,20,0.215,100,465,0.215,false
20,14:46:27:439,Quaker Bot Long Strafes,LG,0.501s,51,20,0.392,100,255,0.392,false
21,14:46:28:130,Quaker Bot Long Strafes,LG,0.44s,45,20,0.444,100,225,0.444,false
22,14:46:28:740,Quaker Bot Long Strafes,LG,0.351s,36,20,0.556,100,180,0.556,false
23,14:46:29:280,Quaker Bot Long Strafes,LG,0.29s,30,20,0.667,100,150,0.667,false
24,14:46:30:490,Quaker Bot Long Strafes,LG,0.958s,97,38,0.392,190,485,0.392,false
25,14:46:30:770,Quaker Bot Long Strafes,LG,0.031s,4,2,0.5,10,20,0.5,false
26,14:46:31:709,Quaker Bot Long Strafes,LG,0.688s,70,20,0.286,100,350,0.286,false
27,14:46:32:531,Quaker Bot Long Strafes,LG,0.571s,58,20,0.345,100,290,0.345,false
28,14:46:33:219,Quaker Bot Long Strafes,LG,0.43s,44,20,0.455,100,220,0.455,false
29,14:46:33:993,Quaker Bot Long Strafes,LG,0.531s,54,20,0.37,100,270,0.37,false
30,14:46:34:648,Quaker Bot Long Strafes,LG,0.407s,42,20,0.476,100,210,0.476,false
31,14:46:35:630,Quaker Bot Long Strafes,LG,0.732s,74,20,0.27,100,370,0.27,false
32,14:46:36:321,Quaker Bot Long Strafes,LG,0.441s,45,20,0.444,100,225,0.444,false
33,14:46:37:219,Quaker Bot Long Strafes,LG,0.642s,65,20,0.308,100,325,0.308,false
34,14:46:38:031,Quaker Bot Long Strafes,LG,0.561s,57,20,0.351,100,285,0.351,false
35,14:46:40:059,Quaker Bot Long Strafes,LG,1.769s,178,39,0.219,195,890,0.219,false
36,14:46:40:580,Quaker Bot Long Strafes,LG,0.271s,28,1,0.036,5,140,0.036,false
37,14:46:41:448,Quaker Bot Long Strafes,LG,0.617s,63,20,0.317,100,315,0.317,false
38,14:46:42:300,Quaker Bot Long Strafes,LG,0.601s,61,20,0.328,100,305,0.328,false
39,14:46:43:052,Quaker Bot Long Strafes,LG,0.519s,53,20,0.377,100,265,0.377,false
40,14:46:43:490,Quaker Bot Long Strafes,LG,0.19s,20,20,1,100,100,1,false
41,14:46:44:279,Quaker Bot Long Strafes,LG,0.537s,55,20,0.364,100,275,0.364,false
42,14:46:45:037,Quaker Bot Long Strafes,LG,0.509s,52,20,0.385,100,260,0.385,false
