Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:35:06:135,Quaker Bot Long Strafes,shotgun,0.001s,10,9,0.9,101,125,0.808,false
2,21:35:07:248,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
3,21:35:08:255,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
4,21:35:09:341,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
5,21:35:10:162,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
6,21:35:11:131,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
7,21:35:11:565,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
8,21:35:12:388,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
9,21:35:13:454,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
10,21:35:14:508,Quaker Bot Long Strafes,shotgun,0.499s,20,10,0.5,125,250,0.5,false
11,21:35:15:702,Quaker Bot Long Strafes,shotgun,0.837s,20,10,0.5,125,250,0.5,false
12,21:35:16:200,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
13,21:35:17:073,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
14,21:35:17:519,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
15,21:35:18:634,Quaker Bot Long Strafes,shotgun,0.536s,20,10,0.5,125,250,0.5,false
16,21:35:19:534,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
17,21:35:19:915,Quaker Bot Long Strafes,shotgun,0.001s,10,7,0.7,87.5,125,0.7,false
18,21:35:20:425,Quaker Bot Long Strafes,shotgun,0s,10,8,0.8,100,125,0.8,false
19,21:35:20:820,Quaker Bot Long Strafes,shotgun,0s,10,7,0.7,87.5,125,0.7,false
20,21:35:22:512,Quaker Bot Long Strafes,shotgun,0.925s,20,12,0.6,138.5,250,0.554,false
21,21:35:22:770,Quaker Bot Long Strafes,shotgun,0s,10,9,0.9,112.5,125,0.9,false
22,21:35:23:572,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
23,21:35:24:172,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
24,21:35:24:659,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
25,21:35:25:469,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
26,21:35:26:370,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
27,21:35:27:710,Quaker Bot Long Strafes,shotgun,0.536s,20,9,0.45,112.5,250,0.45,false
28,21:35:28:797,Quaker Bot Long Strafes,shotgun,0.595s,20,10,0.5,125,250,0.5,false
29,21:35:29:340,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
30,21:35:29:802,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
31,21:35:30:690,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
32,21:35:31:288,Quaker Bot Long Strafes,shotgun,0s,10,8,0.8,100,125,0.8,false
33,21:35:31:843,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
34,21:35:32:730,Quaker Bot Long Strafes,shotgun,0.54s,20,10,0.5,125,250,0.5,false
35,21:35:33:953,Quaker Bot Long Strafes,shotgun,0.575s,20,10,0.5,125,250,0.5,false
36,21:35:34:389,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
37,21:35:35:059,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,125,125,1,false
38,21:35:35:924,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
39,21:35:36:346,Quaker Bot Long Strafes,shotgun,0.001s,10,10,1,113.5,125,0.908,false
40,21:35:36:965,Quaker Bot Long Strafes,shotgun,0.001s,10,8,0.8,100,125,0.8,false
41,21:35:37:829,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
42,21:35:38:504,Quaker Bot Long Strafes,shotgun,0s,10,10,1,125,125,1,false
