Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:12:13:661,Quaker Bot Long Strafes,MG,0.202s,40,40,1,80,80,1,false
2,15:12:14:602,Quaker Bot Long Strafes,MG,0.27s,50,40,0.8,80,100,0.8,false
3,15:12:15:356,Quaker Bot Long Strafes,MG,0.198s,40,40,1,80,80,1,false
4,15:12:15:996,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
5,15:12:17:483,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
6,15:12:18:373,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,80,120,0.667,false
7,15:12:19:162,Quaker Bot Long Strafes,MG,0.215s,40,40,1,80,80,1,false
8,15:12:19:805,Quaker Bot Long Strafes,MG,0.279s,50,50,1,80,100,0.8,false
9,15:12:20:778,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
10,15:12:21:784,Quaker Bot Long Strafes,MG,0.48s,80,40,0.5,80,160,0.5,false
11,15:12:23:091,Quaker Bot Long Strafes,MG,0.623s,100,40,0.4,80,200,0.4,false
12,15:12:24:135,Quaker Bot Long Strafes,MG,0.429s,70,40,0.571,80,140,0.571,false
13,15:12:24:954,Quaker Bot Long Strafes,MG,0.417s,70,40,0.571,80,140,0.571,false
14,15:12:26:160,Quaker Bot Long Strafes,MG,0.561s,90,50,0.556,70,180,0.389,false
15,15:12:26:964,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
16,15:12:28:087,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
17,15:12:28:749,Quaker Bot Long Strafes,MG,0.27s,50,50,1,80,100,0.8,false
18,15:12:29:513,Quaker Bot Long Strafes,MG,0.196s,40,40,1,80,80,1,false
19,15:12:30:577,Quaker Bot Long Strafes,MG,0.197s,40,40,1,80,80,1,false
20,15:12:31:566,Quaker Bot Long Strafes,MG,0.204s,40,40,1,80,80,1,false
21,15:12:32:250,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
22,15:12:32:930,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
23,15:12:33:880,Quaker Bot Long Strafes,MG,0.281s,50,40,0.8,80,100,0.8,false
24,15:12:35:210,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
25,15:12:38:056,Quaker Bot Long Strafes,MG,2.356s,130,70,0.538,140,260,0.538,false
26,15:12:38:622,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
27,15:12:40:438,Quaker Bot Long Strafes,MG,1.011s,80,70,0.875,130,160,0.812,false
28,15:12:41:486,Quaker Bot Long Strafes,MG,0.429s,70,40,0.571,80,140,0.571,false
29,15:12:42:256,Quaker Bot Long Strafes,MG,0.001s,10,10,1,10,20,0.5,false
30,15:12:42:969,Quaker Bot Long Strafes,MG,0.347s,60,60,1,70,120,0.583,false
31,15:12:44:595,Quaker Bot Long Strafes,MG,1.249s,130,90,0.692,130,260,0.5,false
32,15:12:45:074,Quaker Bot Long Strafes,MG,0s,10,10,1,10,20,0.5,false
33,15:12:46:015,Quaker Bot Long Strafes,MG,0.409s,70,50,0.714,70,140,0.5,false
34,15:12:46:949,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
35,15:12:48:194,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
36,15:12:49:024,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
37,15:12:49:713,Quaker Bot Long Strafes,MG,0.267s,50,50,1,80,100,0.8,false
38,15:12:51:868,Quaker Bot Long Strafes,MG,1.857s,140,50,0.357,80,280,0.286,false
39,15:12:53:179,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,70,140,0.5,false
40,15:12:54:259,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
41,15:12:55:005,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
