Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:53:44:336,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
2,12:53:45:070,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
3,12:53:45:978,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
4,12:53:46:747,Quaker Bot Long Strafes,MG,0.204s,40,40,1,80,80,1,false
5,12:53:47:657,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
6,12:53:48:670,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
7,12:53:49:337,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
8,12:53:50:176,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
9,12:53:50:873,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
10,12:53:52:625,Quaker Bot Long Strafes,MG,0.975s,90,70,0.778,130,180,0.722,false
11,12:53:53:111,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
12,12:53:54:159,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
13,12:53:54:929,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
14,12:53:56:016,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
15,12:53:56:714,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
16,12:53:57:480,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
17,12:53:58:603,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
18,12:53:59:405,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
19,12:54:01:223,Quaker Bot Long Strafes,MG,1.29s,100,90,0.9,140,200,0.7,false
20,12:54:02:935,Quaker Bot Long Strafes,MG,1.05s,100,60,0.6,120,200,0.6,false
21,12:54:03:568,Quaker Bot Long Strafes,MG,0.066s,20,20,1,40,40,1,false
22,12:54:04:612,Quaker Bot Long Strafes,MG,0.484s,80,40,0.5,80,160,0.5,false
23,12:54:05:838,Quaker Bot Long Strafes,MG,0.627s,100,40,0.4,70,200,0.35,false
24,12:54:06:574,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
25,12:54:07:588,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
26,12:54:08:671,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
27,12:54:09:612,Quaker Bot Long Strafes,MG,0.418s,70,70,1,70,140,0.5,false
28,12:54:10:066,Quaker Bot Long Strafes,MG,0.138s,30,10,0.333,20,60,0.333,false
29,12:54:10:907,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
30,12:54:11:753,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
31,12:54:12:340,Quaker Bot Long Strafes,MG,0.279s,50,50,1,70,100,0.7,false
32,12:54:13:251,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
33,12:54:13:915,Quaker Bot Long Strafes,MG,0.206s,40,40,1,70,80,0.875,false
34,12:54:15:941,Quaker Bot Long Strafes,MG,1.655s,130,70,0.538,140,260,0.538,false
35,12:54:16:639,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
36,12:54:17:618,Quaker Bot Long Strafes,MG,0.345s,60,50,0.833,80,120,0.667,false
37,12:54:18:458,Quaker Bot Long Strafes,MG,0.274s,50,40,0.8,80,100,0.8,false
38,12:54:19:754,Quaker Bot Long Strafes,MG,1.022s,110,70,0.636,140,220,0.636,false
39,12:54:20:207,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
40,12:54:21:045,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
41,12:54:21:817,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
42,12:54:22:758,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
43,12:54:23:461,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
44,12:54:27:619,Quaker Bot Long Strafes,MG,3.283s,210,100,0.476,200,420,0.476,false
45,12:54:28:424,Quaker Bot Long Strafes,MG,0.585s,60,40,0.667,80,120,0.667,false
46,12:54:29:020,Quaker Bot Long Strafes,MG,0.001s,10,10,1,20,20,1,false
47,12:54:29:507,Quaker Bot Long Strafes,MG,0.001s,10,10,1,20,20,1,false
48,12:54:30:314,Quaker Bot Long Strafes,MG,0.212s,40,40,1,80,80,1,false
49,12:54:31:291,Quaker Bot Long Strafes,MG,0.488s,80,40,0.5,70,160,0.438,false
50,12:54:32:342,Quaker Bot Long Strafes,MG,0.489s,80,40,0.5,80,160,0.5,false
51,12:54:33:178,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
52,12:54:33:988,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
53,12:54:35:035,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
54,12:54:36:046,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
55,12:54:36:816,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
56,12:54:38:075,Quaker Bot Long Strafes,MG,0.7s,110,40,0.364,80,220,0.364,false
57,12:54:38:531,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
58,12:54:39:649,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,80,160,0.5,false
59,12:54:40:556,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
60,12:54:41:292,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
61,12:54:41:816,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MG,3470,2540,4870.0,6940.0,

Kills:,61
Deaths:,0
Fight Time:,23.740999
Avg TTK:,0.389
Damage Done:,4870.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,4.125
Score:,4870.0
Scenario:,patTargetSwitch
Hash:,138da03b852e8501f54ae0187816ee28
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.92
Vert Sens:,1.92
FOV:,103.0
Hide Gun:,false
